DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.2181188055555555,98.55673718,3.3276570098176097,LP,"Pacca- No, Semi Pacca- No, Kacha- Full",36.0
Barisal,Barguna,Bamna,2,0.0,90.63432862,3.47808139521039,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0.0,97.73376718,4.24686301179798,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Betagi,4,0.0,86.37939112,2.2539538675884,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,0.2967668636363636,95.11587987,4.36395420315924,LP,"Pacca- No, Semi Pacca- No, Kacha- Full",22.0
Barisal,Barisal,Agailjhara,6,0.0,39.52293629,0.0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0.0,45.82108355,2.03031776899279,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0.0,61.66699598,2.12082202736836,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Banari Para,9,0.0,46.32011485,1.01376935344026,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0.0,49.06659594,1.8911337952182001,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Gaurnadi,11,0.0,39.65719601,0.22936205537066198,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.6943093333333333,37.75783118,1.8500944896171,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",6.0
Barisal,Barisal,Mehendiganj,13,0.6370338571428571,44.15432713,1.84273794298504,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",7.0
Barisal,Barisal,Muladi,14,0.0,41.70297085,1.6923742174540402,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Wazirpur,15,0.0,45.56533094,1.1334856640023,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0.0,46.41221957,1.75425512201131,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Burhanuddin,17,0.009219,48.53305725,0.7678073480838941,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1.0
Barisal,Bhola,Char Fasson,18,0.35167195833333337,60.01454820000001,2.6410633880201297,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",72.0
Barisal,Bhola,Daulatkhan,19,0.33203499999999997,44.844660299999994,0.510325988002983,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1.0
Barisal,Bhola,Lalmohan,20,0.392088,53.19826238,1.13992885158555,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1.0
Barisal,Bhola,Manpura,21,0.26198358461538457,46.77510104,2.35960762210871,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",65.0
