DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.866417846,8.151112044,3.547711038,LP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",39
Barisal,Barguna,Bamna,2,0,9.705790331,13.10613064,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0,8.479927441,6.501744612,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Betagi,4,0,10.5483303,3.642022616,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,0.610856556,9.233953158,7.493767267,LP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",9
Barisal,Barisal,Agailjhara,6,0,15.42107831,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0,14.48732314,6.523014662,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0,12.24813933,6.469280577,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Banari Para,9,0,14.18625402,1.99703503,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0,13.52239258,6.142251931,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Gaurnadi,11,0,15.56473539,1.420575681,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.255499,15.7870994,6.03307426,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",3
Barisal,Barisal,Mehendiganj,13,0.133930667,15.01435306,6.287584853,MP,"Pacca- No, Semi Pacca- No, Kacha- Full",6
Barisal,Barisal,Muladi,14,0,15.46375201,8.401790856,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Wazirpur,15,0,14.72059085,2.933399352,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0,14.7999512,6.939785275,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Burhanuddin,17,0.009219,13.3214063,6.436432608,MP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Bhola,Char Fasson,18,0.938779648,12.37031407,7.300091902,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",54
Barisal,Bhola,Daulatkhan,19,0.226982,14.48758339,3.720518707,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Bhola,Lalmohan,20,0.392088,13.00844195,3.266087857,MP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1
Barisal,Bhola,Manpura,21,0.191412151,14.97228118,5.712080646,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",53
Barisal,Bhola,Tazumuddin,22,0.2661275,14.62268513,4.38744386,MP,"Pacca- No, Semi Pacca- No, Kacha- Full",6
Barisal,Jhalokati,Jhalokati Sadar,23,0,13.29554795,5.408209281,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Kanthalia,24,0,10.95390909,1.507783159,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Nalchity,25,0,12.3681939,2.546566325,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Rajapur,26,0,12.0399998,1.728397354,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Bauphal,27,0,11.88140577,6.256312137,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dashmina,28,0,9.997488404,5.621561941,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dumki,29,0,10.55664992,3.748617957,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Galachipa,30,0.798121939,9.137842014,11.18664121,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",66
Barisal,Patuakhali,Kala Para,31,0.80204575,6.4245041,9.250354124,LP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",4
Barisal,Patuakhali,Mirzaganj,32,0,10.31813879,4.536557037,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Patuakhali Sadar,33,0,9.967568132,5.577156331,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Bhandaria,34,0,11.6248245,10.64152767,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Kawkhali,35,0,12.6039459,7.41649147,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Mathbaria,36,0,10.80270476,11.71814376,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Nazirpur,37,0,14.39798709,5.20775825,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Nesarabad (Swarupkati),38,0,13.70416679,6.877017773,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
