DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,1.035935981,75.54935773,2.188050739,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",54
Barisal,Barguna,Bamna,2,0,79.32810062,8.466968771,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0,77.47621123,4.081212672,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Betagi,4,0,80.06721041,2.484875761,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,0.826112522,79.10400714,4.684172172,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",23
Barisal,Barisal,Agailjhara,6,0,89.47216122,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0,86.89227083,4.185494884,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0,81.7676859,3.871229938,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Banari Para,9,0,87.39921186,1.722616494,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0,84.62387742,3.955146714,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Gaurnadi,11,0,89.67668148,1.531909764,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.261208667,88.61717192,3.883806804,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",3
Barisal,Barisal,Mehendiganj,13,0.131952167,86.13058555,4.065171055,MP,"Pacca- No, Semi Pacca- No, Kacha- Full",6
Barisal,Barisal,Muladi,14,0,88.80826828,6.240339763,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Wazirpur,15,0,88.4117722,3.052792527,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0,84.62156492,4.513759771,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Burhanuddin,17,0.009219,78.56821648,3.628998088,MP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Bhola,Char Fasson,18,1.057265773,70.83947906,2.994080476,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",66
Barisal,Bhola,Daulatkhan,19,0.224805,83.37247687,2.500694984,MP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Bhola,Lalmohan,20,0.392088,74.74856534,1.614139641,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1
Barisal,Bhola,Manpura,21,0.37520217,73.47815271,3.075697029,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",53
Barisal,Bhola,Tazumuddin,22,0.266353333,78.22696498,2.778140975,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",6
Barisal,Jhalokati,Jhalokati Sadar,23,0,85.15529458,3.815610715,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Kanthalia,24,0,81.26396117,0.704809183,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Nalchity,25,0,82.95812291,0.870369045,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Rajapur,26,0,83.14845784,0.760817394,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Bauphal,27,0,79.49657547,4.000804756,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dashmina,28,0,74.41278363,2.892323289,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dumki,29,0,78.80703894,2.076819875,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Galachipa,30,0.943622823,74.82838446,5.881734813,LP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",79
Barisal,Patuakhali,Kala Para,31,0.998837,73.17874138,5.311726013,LP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",5
Barisal,Patuakhali,Mirzaganj,32,0,79.19134108,3.764901637,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Patuakhali Sadar,33,0,78.13245042,4.309849869,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Bhandaria,34,0,82.62696054,6.987635993,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Kawkhali,35,0,84.44601303,5.542406135,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Mathbaria,36,0,81.78617134,7.499028915,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Nazirpur,37,0,88.03950015,3.311035197,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Nesarabad (Swarupkati),38,0,86.47104807,5.014162657,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Pirojpur Sadar,39,0,85.90959294,2.01429656,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
