DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.663791833,18.08262614,3.569076921,LP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",18
Barisal,Barguna,Bamna,2,0,18.78523745,0.570281772,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0,18.5363821,1.458090553,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Betagi,4,0,18.57908637,0.130705081,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,0.5200502,19.14559253,2.971233352,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",5
Barisal,Barisal,Agailjhara,6,0,20.56931549,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0,19.70079142,0.362137323,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0,18.57102752,0.432437697,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Banari Para,9,0,20.31877358,0.637284096,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0,19.12629364,0.453534654,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Gaurnadi,11,0,20.59101833,0.036918636,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0,19.78246859,0.710995255,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Mehendiganj,13,0.133489,19.30907204,0.702855783,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",4
Barisal,Barisal,Muladi,14,0,20.15047169,0.749225502,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Wazirpur,15,0,20.49623364,0.391417383,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0,18.31882832,0.425573924,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Burhanuddin,17,0.009219,16.97451217,0.557423107,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Bhola,Char Fasson,18,0.570502213,15.05158995,2.727020157,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",47
Barisal,Bhola,Daulatkhan,19,0,17.78250727,0.919972003,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Lalmohan,20,0.392088,15.64187501,0.644142925,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1
Barisal,Bhola,Manpura,21,0.164782921,14.01599402,0.741978196,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",38
Barisal,Bhola,Tazumuddin,22,0.154551667,15.94313411,2.221893787,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",3
Barisal,Jhalokati,Jhalokati Sadar,23,0,19.5785876,0.218846242,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
