DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.198223667,10.66659296,3.522288142,LP,"Pacca- No, Semi Pacca- No, Kacha- Full",18
Barisal,Barguna,Bamna,2,0,10.49498087,0.647205536,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0,10.59710909,2.621362288,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Betagi,4,0,10.21783707,0.014749225,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,0.2350525,10.90180729,2.949811913,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",8
Barisal,Barisal,Agailjhara,6,0,10.91410272,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0,10.09553978,0.333465678,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0,9.863774669,0.34500747,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Banari Para,9,0,10.81430187,1.057521248,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0,9.899040938,0.629390624,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Gaurnadi,11,0,10.83793702,0.033459018,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0,9.941564592,2.73339509,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Mehendiganj,13,0.285296,9.695981115,1.407891031,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",4
Barisal,Barisal,Muladi,14,0,10.34032037,1.302560245,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Wazirpur,15,0,10.91854126,4.616081797,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0,8.858972907,0.826100953,MP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Burhanuddin,17,0.009219,8.327524098,0.537097886,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Bhola,Char Fasson,18,0.241137673,9.652077826,2.53269908,MP,"Pacca- No, Semi Pacca- No, Kacha- Full",52
Barisal,Bhola,Daulatkhan,19,0.538596,8.224060125,0.839606838,MP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1
Barisal,Bhola,Lalmohan,20,0.392088,8.06164943,1.121563235,MP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1
Barisal,Bhola,Manpura,21,0.366871569,8.528518529,0.738442908,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",51
Barisal,Bhola,Tazumuddin,22,0.6348545,7.38599636,1.442609443,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",6
Barisal,Jhalokati,Jhalokati Sadar,23,0,10.33843536,0.662491059,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Kanthalia,24,0,10.42194899,0.365827629,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Nalchity,25,0,9.934817627,1.045685111,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
