DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.211036077,10.7397576,3.196655492,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",26
Barisal,Barguna,Bamna,2,0,10.7917164,0.685216893,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0,10.8571896,2.846604604,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Betagi,4,0,10.233306,0.035910483,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,0.241290125,11.5269804,2.94823132,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",8
Barisal,Barisal,Agailjhara,6,0,12.5175636,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0,11.1449448,0.540160985,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0,9.9741708,0.382693156,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Banari Para,9,0,12.2168196,0.959025,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0,10.3981176,0.743395283,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Gaurnadi,11,0,12.5447292,0.032354913,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.406487333,11.157588,3.5365703,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",6
Barisal,Barisal,Mehendiganj,13,0.5874565,10.5333768,1.499196577,MP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",6
Barisal,Barisal,Muladi,14,0,11.8202328,1.504521425,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Wazirpur,15,0,12.4589916,5.557429957,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0,9.0481176,0.647870444,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Burhanuddin,17,0.009219,7.3125936,0.332593523,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Bhola,Char Fasson,18,0.264767804,7.1983512,2.833390014,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",56
Barisal,Bhola,Daulatkhan,19,0.5501555,8.216064,0.686981855,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",2
Barisal,Bhola,Lalmohan,20,0.392088,5.7254832,1.295683493,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1
Barisal,Bhola,Manpura,21,0.4121215,4.1812236,1.414902317,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",62
Barisal,Bhola,Tazumuddin,22,0.629477,5.8125996,1.819001431,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",9
Barisal,Jhalokati,Jhalokati Sadar,23,0,11.1429936,0.667373109,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Kanthalia,24,0,10.9069632,0.149848467,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Nalchity,25,0,10.376586,2.428648987,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Rajapur,26,0,11.1494664,0.314086819,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Bauphal,27,0,8.2045188,0.276626706,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dashmina,28,0,7.1896284,0.530560735,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dumki,29,0,9.1330812,0.307364883,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Galachipa,30,0.304483593,9.4837572,2.079980701,LP,"Pacca- No, Semi Pacca- No, Kacha- Full",54
Barisal,Patuakhali,Kala Para,31,0.194594,10.5215148,2.07871545,LP,"Pacca- No, Semi Pacca- No, Kacha- Full",2
Barisal,Patuakhali,Mirzaganj,32,0,9.9138672,1.327835925,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Patuakhali Sadar,33,0,9.3874248,0.689067688,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Bhandaria,34,0,11.536794,1.392874486,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
