Division,District,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.544095064,23.70558621,1.5770486419999998,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Barguna,Bamna,2,0.0,20.23275288,0.435625455,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0.0,22.16916142,3.209376329,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Betagi,4,0.0,20.866989,0.017395675,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,0.6486992189999999,20.89179205,4.48125264,LP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Barisal,Barisal,Agailjhara,6,0.0,16.91727327,0.0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0.0,19.22686594,0.718523635,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0.1476875,22.2475718,0.39114780200000004,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barisal,Banari Para,9,0.1243972,17.67732384,1.0693367459999998,LP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0.133282667,21.64729823,0.8381317620000001,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barisal,Gaurnadi,11,0.0,17.87847767,0.076772134,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.25797928600000003,20.53857157,1.54134762,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barisal,Mehendiganj,13,0.14354675,21.30596235,1.245557538,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barisal,Muladi,14,0.345132444,19.19486113,0.862111506,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Barisal,Wazirpur,15,0.0,18.15514499,2.313472666,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0.18697725,23.73509327,0.849500512,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Bhola,Burhanuddin,17,0.009219,26.26199191,0.6030179760000001,MP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Bhola,Char Fasson,18,0.6786104059999999,32.40741337,2.504007685,MP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Barisal,Bhola,Daulatkhan,19,0.387566125,25.63749112,1.5486528259999999,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Bhola,Lalmohan,20,0.23674,29.60052312,0.800210372,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Bhola,Manpura,21,0.668688061,32.33611201,0.541400154,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Barisal,Bhola,Tazumuddin,22,0.221206158,29.06968216,2.7939102780000002,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Jhalokati,Jhalokati Sadar,23,0.0,19.11453153,0.483371782,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Kanthalia,24,0.0,19.838838100000004,0.256004651,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
