DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.175593278,32.56655252,2.592072274,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",18
Barisal,Barguna,Bamna,2,0,25.72039709,0.692826819,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0,29.62551659,2.266682914,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Betagi,4,0,26.70469437,0.121897651,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,0.223347875,28.28571003,2.922911685,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",8
Barisal,Barisal,Agailjhara,6,0,17.11703529,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0,21.41585655,0.387064478,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0,27.36626745,0.299155033,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Banari Para,9,0,18.88429137,0.949130355,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0,26.0237361,0.436674953,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Gaurnadi,11,0,18.66932614,0.035152921,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.257043667,22.88983816,0.95191649,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",3
Barisal,Barisal,Mehendiganj,13,0.136537333,25.10528313,1.046210849,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",6
Barisal,Barisal,Muladi,14,0,21.23136925,0.47300136,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Wazirpur,15,0,19.69206947,2.959768086,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0,29.78362844,0.466662752,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Burhanuddin,17,0.009219,34.73741509,0.344793812,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Bhola,Char Fasson,18,0.210738353,49.95985192,2.921955924,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",51
Barisal,Bhola,Daulatkhan,19,0.259834,32.55480598,0.563329147,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Bhola,Lalmohan,20,0.392088,41.68789705,0.955229822,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1
Barisal,Bhola,Manpura,21,0.187356407,47.29305176,1.802736881,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",54
Barisal,Bhola,Tazumuddin,22,0.290028375,39.32964723,1.914587053,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",8
Barisal,Jhalokati,Jhalokati Sadar,23,0,22.01209122,0.486598976,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Kanthalia,24,0,24.15298891,0.156341472,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Nalchity,25,0,24.2378565,0.926573909,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Rajapur,26,0,23.42718936,0.242073196,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Bauphal,27,0,34.46101214,0.880443934,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dashmina,28,0,37.01382866,0.950906058,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dumki,29,0,28.52287751,0.314237797,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Galachipa,30,0.254235289,42.97563413,3.007056472,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",45
Barisal,Patuakhali,Kala Para,31,0.139431,35.84318985,0.918823824,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Patuakhali,Mirzaganj,32,0,27.99172035,0.449554849,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Patuakhali Sadar,33,0,31.05742354,0.811062843,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Bhandaria,34,0,22.67791056,1.288160844,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Kawkhali,35,0,20.83531451,0.598566701,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Mathbaria,36,0,24.77486917,3.105504034,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Nazirpur,37,0,17.96282154,0.648501142,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Nesarabad (Swarupkati),38,0,19.62641929,0.379150117,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Pirojpur Sadar,39,0,20.75975875,0.532533489,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Zianagar,40,0,20.92234222,1.13351485,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Chandpur Sadar,41,0.394007091,18.92259269,0.936060661,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",11
Chittagong,Chandpur,Faridganj,42,0,21.09308919,0.266914405,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Haim Char,43,0.239372,20.94874832,0.426239036,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Chittagong,Chandpur,Hajiganj,44,0,20.84536766,2.061480927,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Kachua,45,0,20.54351696,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Matlab Dakshin,46,0,17.74506848,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Matlab Uttar,47,0,15.97985631,0.831518046,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Shahrasti,48,0,22.35699223,0.389355544,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chittagong,Anowara,49,0.657787357,73.07574656,1.138069155,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",14
Chittagong,Chittagong,Banshkhali,50,0.329565348,94.77429331,1.881814173,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",23
Chittagong,Chittagong,Boalkhali,51,0.303514,64.21001595,4.851576862,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Chittagong,Chittagong,Chandanaish,52,0,78.08321365,1.98408383,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chittagong,Fatikchhari,54,0.65,50.46384144,0.29787794,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",1
Chittagong,Chittagong,Hathazari,55,0,57.48276429,0.890340863,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chittagong,Chittagong City Corporation,53,0.268725429,65.52901347,3.868930553,LP,"Pacca- No, Semi Pacca- No, Kacha- Full",7
Chittagong,Chittagong,Lohagara,56,0,97.69195611,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chittagong,Mirsharai,57,0.343471333,42.30106999,0.856326851,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",3
Chittagong,Chittagong,Patiya,58,0,69.71922892,0.696742794,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chittagong,Rangunia,59,0.899863529,66.8970318,7.430982884,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",153
Chittagong,Chittagong,Raozan,60,0.25,58.19356992,6.222888931,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",1
Chittagong,Chittagong,Sandwip,61,0.494505802,53.62674548,1.504883466,LP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",162
Chittagong,Chittagong,Satkania,62,0,86.01517347,2.83366204,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chittagong,Sitakunda,63,0.3258499,56.94690289,0.813436472,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",10
Chittagong,Cox'S Bazar,Chakaria,64,0.5521515,138.3670157,16.46513364,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",2
Chittagong,Cox'S Bazar,Cox'S Bazar Sadar,65,0,166.0300158,33.81038669,HP,"Pacca- No, Semi Pacca- Partial, Kacha- Full",
Chittagong,Cox'S Bazar,Kutubdia,66,0.804247667,104.5695496,4.795514788,LP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",6
Chittagong,Cox'S Bazar,Maheshkhali,67,0.21178155,146.4805079,17.84164382,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",20
Chittagong,Cox'S Bazar,Pekua,68,0.294982167,109.9470838,8.856578384,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",6
Chittagong,Cox'S Bazar,Ramu,69,0,195.9174516,33.39915706,HP,"Pacca- No, Semi Pacca- Partial, Kacha- Full",
Chittagong,Cox'S Bazar,Teknaf,70,4.469369242,264.1518098,56.2641987,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",33
Chittagong,Cox'S Bazar,Ukhia,71,0,229.0666636,39.07488848,HP,"Pacca- No, Semi Pacca- Partial, Kacha- Full",
Chittagong,Feni,Chhagalnaiya,72,0,33.93292946,1.098342463,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Feni,Daganbhuiyan,73,0,31.42415904,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Feni,Feni Sadar,74,0,33.69731053,1.056255643,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Feni,Fulgazi,75,0,29.53519475,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Feni,Parshuram,76,0,27.96244905,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Feni,Sonagazi,77,0.6020246,37.75064297,0.456911933,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",5
Chittagong,Lakshmipur,Kamalnagar,78,0,30.895186,0.188146109,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Lakshmipur,Lakshmipur Sadar,79,0.4910195,27.93034894,1.65494505,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",2
Chittagong,Lakshmipur,Ramganj,80,0,23.26080862,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Lakshmipur,Ramgati,81,0.572884532,35.71470875,0.794807899,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",79
Chittagong,Lakshmipur,Roypur,82,0.272603,23.53664613,1.81143688,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",11
Chittagong,Noakhali,Begumganj,83,0,29.9805097,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Noakhali,Chatkhil,84,0,25.45459646,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Noakhali,Companiganj,85,0.455806654,40.89839398,0.844510254,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",26
Chittagong,Noakhali,Hatiya,86,0.565216128,52.39492367,3.588038283,MP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",218
Chittagong,Noakhali,Kabirhat,87,0,34.71472966,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Noakhali,Noakhali Sadar (Sudharam),88,0,34.60560239,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Noakhali,Senbagh,89,0,30.88428712,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Noakhali,Sonaimuri,90,0,27.86293505,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Noakhali,Subarnachar,91,0.577276071,44.49150095,1.537110899,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",14
