Division,District,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.522701679,26.47255876,1.586431624,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Barguna,Bamna,2,0.0,22.15293437,1.170959007,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0.0,24.56608939,1.063928278,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Betagi,4,0.0,22.88533492,0.122031389,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,0.607527,23.05161087,3.725903055,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Barisal,Agailjhara,6,0.0,17.69223859,0.0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0.0,20.42547022,0.648408596,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0.156051625,24.17549974,0.65738627,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barisal,Banari Para,9,0.13583299999999998,18.71691219,1.009215798,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0.139361667,23.35651066,0.7763068129999999,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barisal,Gaurnadi,11,0.0,18.72748188,0.08815888,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.2514858,21.66220855,1.432139038,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barisal,Mehendiganj,13,0.147669,22.85618481,1.119745753,MP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barisal,Muladi,14,0.38548944399999996,20.33749256,0.8496636559999999,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Barisal,Wazirpur,15,0.0,19.25765738,2.170713777,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0.185025,25.8563282,0.891250005,MP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Bhola,Burhanuddin,17,0.009219,29.07369034,0.958380178,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Bhola,Char Fasson,18,0.65902045,37.86286042,1.334325453,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Barisal,Bhola,Daulatkhan,19,0.404122375,27.92212018,1.7183309390000001,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Bhola,Lalmohan,20,0.24000425,33.57191257,0.670497943,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Bhola,Manpura,21,0.66761933,37.27051611,2.461163391,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Barisal,Bhola,Tazumuddin,22,0.219155789,32.41667907,1.5296418330000001,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Jhalokati,Jhalokati Sadar,23,0.0,20.51518577,0.484823514,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Kanthalia,24,0.0,21.491161899999998,0.138955665,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Nalchity,25,0.0,22.12821817,0.00023290099999999998,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Rajapur,26,0.0,21.20826977,0.0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Bauphal,27,0.117475,28.65432727,0.940793005,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Patuakhali,Dashmina,28,0.0,29.74225094,0.5993658239999999,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dumki,29,0.5347729999999999,24.67911781,0.325397195,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Patuakhali,Galachipa,30,0.584122878,32.93436529,2.25661117,LP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Patuakhali,Kala Para,31,0.42390375,27.83191752,1.068986821,LP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Patuakhali,Mirzaganj,32,0.0,23.7281257,0.492059064,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Patuakhali Sadar,33,0.0,26.09227196,0.861169016,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Bhandaria,34,0.0,20.64474722,0.887663883,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Kawkhali,35,0.0,19.50950527,0.587252144,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Mathbaria,36,0.35261500799999995,21.43286094,4.4300133310000005,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Pirojpur,Nazirpur,37,0.204608328,17.86391038,0.632990673,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Pirojpur,Nesarabad (Swarupkati),38,0.0,19.05643267,0.473766191,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Pirojpur Sadar,39,0.0,19.39396558,1.004751406,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Zianagar,40,0.3467225,19.36687253,1.181866397,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Chittagong,Chandpur,Chandpur Sadar,41,0.42726672,19.05029674,4.171218397,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Chittagong,Chandpur,Faridganj,42,0.0,20.45327099,0.447997497,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Haim Char,43,0.207191333,20.40189385,0.486079329,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",
