DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.658205625,27.93100325,3.558335913,LP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",24
Barisal,Barguna,Bamna,2,0,21.88496094,0.78789351,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0,25.72676349,1.517929725,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Betagi,4,0,22.19153914,0.302014006,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,0.444806875,25.1100683,3.592522447,LP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",8
Barisal,Barisal,Agailjhara,6,0,12.05046899,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0,14.84917721,0.56720616,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0,20.6808461,0.530131653,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Banari Para,9,0,14.1643813,0.693215284,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0,18.44724688,0.63496354,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Gaurnadi,11,0,12.45064947,0.078481233,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.277916,14.1446052,0.888237202,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",5
Barisal,Barisal,Mehendiganj,13,0.1131775,17.22608119,1.000951264,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",6
Barisal,Barisal,Muladi,14,0,14.36366616,0.803756628,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Wazirpur,15,0,14.31662509,0.382384899,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0,21.3533283,0.716696012,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Burhanuddin,17,0.009219,25.88771556,0.855747499,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Bhola,Char Fasson,18,0.85689534,41.19846799,2.350508797,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",53
Barisal,Bhola,Daulatkhan,19,0.197912,23.17344891,1.441384507,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Bhola,Lalmohan,20,0.392088,32.48690342,0.50631897,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1
Barisal,Bhola,Manpura,21,0.14345537,37.73114335,1.174547583,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",54
Barisal,Bhola,Tazumuddin,22,0.220833444,29.77598281,1.535081758,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",9
Barisal,Jhalokati,Jhalokati Sadar,23,0,16.91490759,0.30574523,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Kanthalia,24,0,19.95157783,0.164130386,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Nalchity,25,0,18.26839025,0.421299223,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Rajapur,26,0,18.4041362,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Bauphal,27,0,26.4905943,0.743594636,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dashmina,28,0,29.53715613,0.519440488,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dumki,29,0,21.72698269,0.29931893,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Galachipa,30,0.652519319,35.74452469,1.971134473,LP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",47
Barisal,Patuakhali,Kala Para,31,0.5096865,30.70109793,0.85781809,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",2
Barisal,Patuakhali,Mirzaganj,32,0,23.01182248,1.145556253,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Patuakhali Sadar,33,0,24.22580756,1.103030639,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Bhandaria,34,0,18.78226555,1.320751214,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Kawkhali,35,0,16.97048398,0.495871611,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Mathbaria,36,0,21.61434229,5.101432062,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Nazirpur,37,0,14.70798053,0.587287281,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
