DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.186636944,6.55771563,3.325229571,LP,"Pacca- No, Semi Pacca- No, Kacha- Full",18
Barisal,Barguna,Bamna,2,0,4.659752772,0.768439667,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0,5.851348288,2.532728779,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Betagi,4,0,4.7361188,0.009088797,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,0.2237435,5.637295154,3.062433752,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",8
Barisal,Barisal,Agailjhara,6,0,2.495732536,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0,2.569206976,0.358118664,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0,4.240731104,0.358014058,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Banari Para,9,0,2.651395008,1.136435297,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0,3.520091635,0.628850991,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Gaurnadi,11,0,2.317216031,0.020911714,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.261318833,2.110596851,1.110092354,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",6
Barisal,Barisal,Mehendiganj,13,0.150682833,3.123659228,1.1819385,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",6
Barisal,Barisal,Muladi,14,0,2.366194233,0.514804035,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Wazirpur,15,0,2.634376535,3.244078803,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0,4.551893321,0.54172397,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Burhanuddin,17,0.009219,6.245558441,0.647149713,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Bhola,Char Fasson,18,0.231110434,12.3903811,2.235553895,MP,"Pacca- No, Semi Pacca- No, Kacha- Full",53
Barisal,Bhola,Daulatkhan,19,0.280694,5.241396682,0.917683483,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Bhola,Lalmohan,20,0.392088,8.873386456,0.955518974,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1
Barisal,Bhola,Manpura,21,0.243055018,11.08249477,1.107655647,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",56
Barisal,Bhola,Tazumuddin,22,0.377582778,7.812549447,1.536908232,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",9
Barisal,Jhalokati,Jhalokati Sadar,23,0,3.182246002,0.565717601,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Kanthalia,24,0,4.083427447,0.257461349,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Nalchity,25,0,3.551353038,1.284799277,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Rajapur,26,0,3.601601963,0.308757398,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Bauphal,27,0,6.405141522,0.666695018,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dashmina,28,0,7.529885217,0.347995826,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dumki,29,0,4.611440369,0.343447161,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Galachipa,30,0.256761413,9.873036009,2.249672969,LP,"Pacca- No, Semi Pacca- No, Kacha- Full",46
Barisal,Patuakhali,Kala Para,31,0.193504,7.654665428,1.158941233,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Patuakhali,Mirzaganj,32,0,4.997610089,0.658941745,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Patuakhali Sadar,33,0,5.49841338,0.754208387,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Bhandaria,34,0,3.853262157,1.167589778,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Kawkhali,35,0,3.368793937,0.674067042,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Mathbaria,36,0,4.596351481,3.390879337,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Nazirpur,37,0,3.102907924,0.9599377,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Nesarabad (Swarupkati),38,0,2.940036541,0.985245271,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Pirojpur Sadar,39,0,3.42772946,0.687897767,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Zianagar,40,0,3.781762502,1.021649764,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Chandpur Sadar,41,0.39838,1.486473528,0.990679639,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",11
Chittagong,Chandpur,Faridganj,42,0,1.338669893,0.337082882,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Haim Char,43,0.3051585,1.557305333,0.479845542,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",2
Chittagong,Chandpur,Hajiganj,44,0,1.005097628,2.884057247,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Kachua,45,0,1.208498554,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Matlab Dakshin,46,0,1.29805038,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Matlab Uttar,47,0,1.913460517,0.896068933,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Shahrasti,48,0,1.155058804,0.481385002,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chittagong,Anowara,49,0.687461071,21.15116381,0.303732608,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",14
Chittagong,Chittagong,Banshkhali,50,0.318534739,30.81138044,0.363010229,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",23
Chittagong,Chittagong,Boalkhali,51,0.323811,16.94845444,1.287558177,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1
Chittagong,Chittagong,Chandanaish,52,0,22.89519525,0.187145496,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chittagong,Fatikchhari,54,0.65,11.31825467,0.001591301,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",1
