DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,1.719491065,127.3764661,9.782294828,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",107
Barisal,Barguna,Bamna,2,0,128.0081687,25.4740649,HP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Barguna,Barguna Sadar,3,0,127.8277273,14.34166293,HP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Barguna,Betagi,4,0,127.5835155,8.721501101,HP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Barguna,Patharghata,5,1.186278098,128.7802924,14.24192466,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",51
Barisal,Barisal,Agailjhara,6,0,130.670335,0,LP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Barisal,Babuganj,7,0,129.1688288,12.56094513,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Barisal,Bakerganj,8,0,127.3756306,23.16227462,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Barisal,Banari Para,9,0,130.2661246,9.215984185,LP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0,128.2618956,9.644781741,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Barisal,Gaurnadi,11,0,130.7005085,8.010665958,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Barisal,Hizla,12,0,129.3653687,20.79224964,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Barisal,Mehendiganj,13,0.138167,128.4907802,24.09954197,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",4
Barisal,Barisal,Muladi,14,0,129.9505125,20.42061418,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Barisal,Wazirpur,15,0,130.5896989,12.96801917,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Bhola,Bhola Sadar,16,0,126.883386,14.22258015,HP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
