DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.208329333,16.7005476,3.111839074,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",24
Barisal,Barguna,Bamna,2,0,14.7890952,0.646332986,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0,15.9079536,3.013440969,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Betagi,4,0,14.4766116,0.031777868,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,0.2352625,16.172478,2.75649014,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",8
Barisal,Barisal,Agailjhara,6,0,12.8857824,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0,11.7314172,0.720339851,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0,12.7913472,0.45522723,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Banari Para,9,0,13.044438,0.664847454,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0,11.6721432,0.823851355,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Gaurnadi,11,0,12.5446284,0.076539366,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.895804,10.6622316,2.151807655,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",12
Barisal,Barisal,Mehendiganj,13,0.6120105,10.6535556,1.666783526,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",14
Barisal,Barisal,Muladi,14,0,11.4423804,1.874016273,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Wazirpur,15,0,13.0955904,0.868658836,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0.229918,10.3062204,0.647965942,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Bhola,Burhanuddin,17,0.009219,11.2426164,0.558484353,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Bhola,Char Fasson,18,0.2644281,19.0112904,3.364429568,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",60
Barisal,Bhola,Daulatkhan,19,0.543714,10.0661076,0.842092444,MP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",8
Barisal,Bhola,Lalmohan,20,0.392088,13.9548312,1.378006731,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1
Barisal,Bhola,Manpura,21,0.400978181,16.640712,1.387448813,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",83
Barisal,Bhola,Tazumuddin,22,0.428845714,12.3646356,1.746334536,MP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",14
