DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.773729161,20.55833216,1.410502243,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",31
Barisal,Barguna,Bamna,2,0,15.58364044,2.181360384,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0,18.43442531,1.263090972,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Betagi,4,0,14.83611494,0.46890316,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,0.616455333,19.08361207,1.981921805,LP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",12
Barisal,Barisal,Agailjhara,6,0,13.63528671,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0,10.58448809,0.810410626,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0,11.33256338,0.713604561,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Banari Para,9,0,13.26282793,0.42197987,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0,10.0873894,0.719105224,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Gaurnadi,11,0,13.42060443,0.463601439,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.245658667,10.39264508,1.136122324,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",3
Barisal,Barisal,Mehendiganj,13,0.1379825,9.205919589,1.169662079,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",6
Barisal,Barisal,Muladi,14,0,11.51625191,1.06607039,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Wazirpur,15,0,13.64790426,0.992999166,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0,6.46149888,0.929408973,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Burhanuddin,17,0.009219,7.0164438,0.736917345,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Bhola,Char Fasson,18,0.865408228,24.65877904,2.056853215,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",57
Barisal,Bhola,Daulatkhan,19,0.220202,5.332670731,0.688616242,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Bhola,Lalmohan,20,0.392088,13.09461859,1.445483739,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1
Barisal,Bhola,Manpura,21,0.570890667,18.62293944,1.15571917,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",54
Barisal,Bhola,Tazumuddin,22,0.199412833,9.839144062,2.269730922,MP,"Pacca- No, Semi Pacca- No, Kacha- Full",6
Barisal,Jhalokati,Jhalokati Sadar,23,0,12.00790877,0.49349574,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Kanthalia,24,0,13.88823175,0.194889688,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Nalchity,25,0,11.15308682,0.838874823,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Rajapur,26,0,12.70630345,0.070333119,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Bauphal,27,0,9.987693938,1.091656969,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dashmina,28,0,14.49250346,1.124443073,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dumki,29,0,10.78724928,0.274564695,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Galachipa,30,0.730988536,23.87314344,2.262123088,LP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",56
