Division,District,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.332693526,33.68148962,1.928630637,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Barguna,Bamna,2,0.0,28.26538302,0.581682985,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0.0,31.45594529,3.283599922,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Betagi,4,0.0,27.14599923,0.076789731,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,0.385615063,32.48278607,3.545030441,LP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Barisal,Agailjhara,6,0.0,25.318043399999997,0.0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0.0,21.19658793,1.314520392,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0.19487116699999998,22.54014354,0.45610121,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barisal,Banari Para,9,0.1032374,25.17447171,1.17903675,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0.137188333,20.68187945,0.880368272,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barisal,Gaurnadi,11,0.0,24.68745141,0.09054773699999999,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.24782377100000003,20.21091559,2.091918588,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barisal,Mehendiganj,13,0.145904792,18.93157979,1.304429087,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barisal,Muladi,14,0.372105222,22.17754748,0.932916545,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Barisal,Wazirpur,15,0.0,25.5680453,2.565817828,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0.184756875,15.1067008,0.955337593,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Bhola,Burhanuddin,17,0.009219,14.50144936,0.73920958,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Bhola,Char Fasson,18,0.48322118700000005,35.52380718,2.407381339,MP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Bhola,Daulatkhan,19,0.39124899999999996,12.20288386,1.24125638,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Bhola,Lalmohan,20,0.21683625,19.86689555,0.497010923,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Bhola,Manpura,21,0.748987365,27.06893294,1.5172730369999998,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Barisal,Bhola,Tazumuddin,22,0.322736105,14.8899301,2.294853013,MP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Jhalokati,Jhalokati Sadar,23,0.0,23.73075375,0.493472199,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Kanthalia,24,0.0,26.24504927,0.24256784,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Nalchity,25,0.0,22.40903483,0.000128207,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Rajapur,26,0.0,24.56005346,0.0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Bauphal,27,0.105174,19.85999655,0.585162736,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Patuakhali,Dashmina,28,0.0,24.31684483,0.46852183399999997,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dumki,29,0.519560667,21.52363519,0.35834448700000004,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Patuakhali,Galachipa,30,0.519284132,35.90857405,1.904217364,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
