DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.814823885,38.86597813,1.511753492,LP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",26
Barisal,Barguna,Bamna,2,0,31.70123137,1.065100363,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0,35.9065444,1.214943955,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Betagi,4,0,29.87732301,0.201008748,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,0.45160725,37.59024084,2.240889228,LP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",8
Barisal,Barisal,Agailjhara,6,0,30.75098655,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0,25.36374854,0.400666622,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0,24.65586983,0.285031358,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Banari Para,9,0,29.97127161,0.606813181,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0,23.91826182,0.527169316,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Gaurnadi,11,0,30.43469951,0.088508275,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.253308333,25.59851131,0.654258247,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",3
Barisal,Barisal,Mehendiganj,13,0.129852,22.8549237,0.881375141,MP,"Pacca- No, Semi Pacca- No, Kacha- Full",6
Barisal,Barisal,Muladi,14,0,27.41264271,0.785818453,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Wazirpur,15,0,30.72291697,0.422670681,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0,18.24162273,0.554453546,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Burhanuddin,17,0.009219,13.56479197,0.42518401,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Bhola,Char Fasson,18,0.631766121,37.1346707,1.769000136,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",58
Barisal,Bhola,Daulatkhan,19,0.217207,15.93061181,0.907608583,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Bhola,Lalmohan,20,0.392088,15.59653427,1.630563457,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1
Barisal,Bhola,Manpura,21,0.5904802,24.80013072,2.947035339,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",55
Barisal,Bhola,Tazumuddin,22,0.233384833,8.758171652,2.565592066,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",6
Barisal,Jhalokati,Jhalokati Sadar,23,0,26.91828453,0.206186629,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Kanthalia,24,0,29.35280929,0.14663723,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Nalchity,25,0,24.60424009,0.369376139,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Rajapur,26,0,27.76260794,0.071222577,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Bauphal,27,0,19.01752726,0.406771581,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dashmina,28,0,23.27798166,0.711317407,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dumki,29,0,22.37279165,0.18446466,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Galachipa,30,0.505568059,40.40327515,1.688897866,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",51
Barisal,Patuakhali,Kala Para,31,0.5803724,39.93678399,0.970817032,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",5
Barisal,Patuakhali,Mirzaganj,32,0,27.582939,1.498664842,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Patuakhali Sadar,33,0,26.77513353,1.154528185,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Bhandaria,34,0,31.68175921,1.061554196,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Kawkhali,35,0,28.70158028,0.809865968,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Mathbaria,36,0,34.32278577,2.872313743,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Nazirpur,37,0,32.23978266,0.465694084,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
