DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.647583731,16.9256052,3.948027187,LP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",26
Barisal,Barguna,Bamna,2,0,13.6729908,1.310834197,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0,15.2451828,2.423753199,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Betagi,4,0,14.714316,0.418659914,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,0.6361897,13.5260316,3.428064383,LP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",10
Barisal,Barisal,Agailjhara,6,0,13.417182,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0,15.5487492,0.490073811,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0,18.5243544,0.422852639,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Banari Para,9,0,13.699908,0.694783763,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0,18.0405684,0.542829893,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Gaurnadi,11,0,14.7947256,0.065744583,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.254414833,18.906966,0.759483052,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",6
Barisal,Barisal,Mehendiganj,13,0.135576,18.7072632,0.927147402,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",6
Barisal,Barisal,Muladi,14,0,15.7695444,0.69403548,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Wazirpur,15,0,14.2864236,0.386144939,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0,20.7390204,0.574581002,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Burhanuddin,17,0.009219,24.6083292,0.608441522,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Bhola,Char Fasson,18,0.945234719,28.0244952,2.647465768,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",57
Barisal,Bhola,Daulatkhan,19,0.228302,24.6899952,1.363194233,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Bhola,Lalmohan,20,0.392088,27.5181372,0.976489713,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1
Barisal,Bhola,Manpura,21,0.4060065,32.2233624,1.02085734,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",54
Barisal,Bhola,Tazumuddin,22,0.20813875,29.3418252,2.375384221,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",8
Barisal,Jhalokati,Jhalokati Sadar,23,0,14.6103948,0.290851796,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Kanthalia,24,0,14.1627312,0.150932686,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Nalchity,25,0,16.2112932,0.383617802,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Rajapur,26,0,14.262948,0.107008679,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Bauphal,27,0,21.3892128,0.484832458,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dashmina,28,0,21.40398,0.409410422,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dumki,29,0,17.5930416,0.375835195,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Galachipa,30,0.708120719,21.3835536,2.072980352,LP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",57
Barisal,Patuakhali,Kala Para,31,0.374544,17.3069064,0.868514511,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",2
