DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.208925615,16.9256052,3.215209999,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",26
Barisal,Barguna,Bamna,2,0,13.6729908,0.709979125,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0,15.2451828,2.864752378,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Betagi,4,0,14.714316,0.028482694,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,0.240281,13.5260316,3.019757839,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",8
Barisal,Barisal,Agailjhara,6,0,13.417182,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0,15.5487492,1.321882903,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0,18.5243544,0.408523549,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Banari Para,9,0,13.699908,0.971872337,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0,18.0405684,0.747397412,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Gaurnadi,11,0,14.7947256,0.020654527,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.714482,18.906966,3.519596095,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",6
Barisal,Barisal,Mehendiganj,13,0.605419429,18.7072632,1.478536142,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",7
Barisal,Barisal,Muladi,14,0,15.7695444,1.52011461,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Wazirpur,15,0,14.2864236,4.689145986,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0,20.7390204,0.593297854,MP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Burhanuddin,17,0.009219,24.6083292,0.343045637,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Bhola,Char Fasson,18,0.253892456,28.0244952,2.841199067,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",57
Barisal,Bhola,Daulatkhan,19,0.3054695,24.6899952,0.619498595,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",2
Barisal,Bhola,Lalmohan,20,0.392088,27.5181372,1.157508601,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1
Barisal,Bhola,Manpura,21,0.303502968,32.2233624,1.093312349,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",62
Barisal,Bhola,Tazumuddin,22,0.373157778,29.3418252,1.689432971,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",9
