DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.6914778,12.36560358,1.901427176,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",25
Barisal,Barguna,Bamna,2,0,7.395631434,0.855834411,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0,9.180175885,2.703104121,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Betagi,4,0,10.82063242,0.021909348,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,0.6262325,5.658992033,2.550362858,LP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",8
Barisal,Barisal,Agailjhara,6,0,14.81781346,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0,15.92852732,0.55432375,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0,18.0310267,0.453354762,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Banari Para,9,0,13.31939555,0.605867374,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0,17.70282442,0.645774425,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Gaurnadi,11,0,15.94708558,0.047723237,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.240979,21.96384371,0.732892604,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",3
Barisal,Barisal,Mehendiganj,13,0.130987667,21.22627938,0.846896158,MP,"Pacca- No, Semi Pacca- No, Kacha- Full",6
Barisal,Barisal,Muladi,14,0,17.72092088,0.725281015,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Wazirpur,15,0,14.81560762,0.287546039,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0,22.53951668,0.464165934,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Burhanuddin,17,0.009219,26.76387037,0.368698499,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Bhola,Char Fasson,18,0.897051796,30.10959913,2.157070583,MP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",54
Barisal,Bhola,Daulatkhan,19,0.26018,27.5583645,0.782321436,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Bhola,Lalmohan,20,0.392088,30.11507419,1.880916096,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1
Barisal,Bhola,Manpura,21,0.246575189,36.36166566,2.731673032,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",53
Barisal,Bhola,Tazumuddin,22,0.228523,33.15052631,2.263384645,MP,"Pacca- No, Semi Pacca- No, Kacha- Full",7
