DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.185285111,12.36560358,2.180485504,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",18
Barisal,Barguna,Bamna,2,0,7.395631434,0.366916799,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0,9.180175885,2.582841112,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Betagi,4,0,10.82063242,0.079052506,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,0.22267825,5.658992033,2.594568184,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",8
Barisal,Barisal,Agailjhara,6,0,14.81781346,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0,15.92852732,0.885173876,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0,18.0310267,0.17867791,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Banari Para,9,0,13.31939555,0.665499474,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0,17.70282442,0.430628241,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Gaurnadi,11,0,15.94708558,0.034300585,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.254683333,21.96384371,2.201559023,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",3
Barisal,Barisal,Mehendiganj,13,0.153287833,21.22627938,0.789556192,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",6
Barisal,Barisal,Muladi,14,0,17.72092088,0.829611807,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Wazirpur,15,0,14.81560762,1.881782286,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0,22.53951668,0.693807185,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Burhanuddin,17,0.009219,26.76387037,0.842448975,MP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Bhola,Char Fasson,18,0.209001941,30.10959913,2.755437001,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",51
Barisal,Bhola,Daulatkhan,19,0.26018,27.5583645,0.361201725,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Bhola,Lalmohan,20,0.392088,30.11507419,1.334584592,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1
Barisal,Bhola,Manpura,21,0.171399151,36.36166566,2.020945211,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",53
Barisal,Bhola,Tazumuddin,22,0.258678286,33.15052631,1.237046799,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",7
Barisal,Jhalokati,Jhalokati Sadar,23,0,13.26547505,0.409902146,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Kanthalia,24,0,9.930654789,0.22308792,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Nalchity,25,0,14.38762178,2.583411224,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Rajapur,26,0,11.06873719,0.216811513,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Bauphal,27,0,20.95254175,0.944710577,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dashmina,28,0,20.89646819,0.851871063,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dumki,29,0,15.14102062,0.266241867,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Galachipa,30,0.2485586,19.92013231,2.682436895,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",45
Barisal,Patuakhali,Kala Para,31,0.168912,12.38140374,0.722541646,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Patuakhali,Mirzaganj,32,0,11.99352551,1.549348244,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Patuakhali Sadar,33,0,15.03206839,0.635970119,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Bhandaria,34,0,9.198501597,1.646089598,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Kawkhali,35,0,10.37140683,0.858155636,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Mathbaria,36,0,6.935914902,3.182908608,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Nazirpur,37,0,12.01287626,0.467861027,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Nesarabad (Swarupkati),38,0,12.27625682,0.420474364,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Pirojpur Sadar,39,0,9.907368997,0.388928854,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Zianagar,40,0,8.05940104,1.245969034,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Chandpur Sadar,41,0.3886176,24.02941379,1.086076912,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",10
Chittagong,Chandpur,Faridganj,42,0,25.56862109,0.232311533,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Haim Char,43,0.239487,22.06464684,0.425949656,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Chittagong,Chandpur,Hajiganj,44,0,26.6248396,0.975890263,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Kachua,45,0,28.11751737,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Matlab Dakshin,46,0,24.34958859,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Matlab Uttar,47,0,23.45336915,0.76622436,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Shahrasti,48,0,28.54701081,0.396490706,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chittagong,Anowara,49,0.663649571,114.1156419,4.393248498,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",14
Chittagong,Chittagong,Banshkhali,50,0.342074522,142.8023349,6.325266462,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",23
Chittagong,Chittagong,Boalkhali,51,0.305833,96.54315604,8.017779372,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1
Chittagong,Chittagong,Chandanaish,52,0,121.5754414,4.138007892,HP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Chittagong,Chittagong,Fatikchhari,54,0.65,71.86408623,0.644333046,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",1
Chittagong,Chittagong,Hathazari,55,0,83.59839641,2.181253375,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chittagong,Chittagong City Corporation,53,0.206615,97.16345709,7.190747376,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",7
Chittagong,Chittagong,Lohagara,56,0,148.0477012,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Chittagong,Chittagong,Mirsharai,57,0.356391667,56.39161917,0.731729796,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",3
Chittagong,Chittagong,Patiya,58,0,108.0512812,4.861396706,HP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Chittagong,Chittagong,Rangunia,59,0.879942784,100.3428338,11.95152048,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",153
Chittagong,Chittagong,Raozan,60,0.3,85.7116237,10.204156,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",1
Chittagong,Chittagong,Sandwip,61,0.461199863,65.0953664,2.214745909,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",161
