Division,District,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.30566194,44.22971185,1.740170884,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Barguna,Bamna,2,0.0,35.34189667,1.167040257,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0.0,40.09892236,2.293700223,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Betagi,4,0.0,37.14077098,0.22019485600000002,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,0.31680712899999997,35.85147429,2.315207381,LP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Barisal,Agailjhara,6,0.0,29.62781209,0.0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0.0,34.99622685,0.52094149,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0.098966,42.35032116,0.439685389,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barisal,Banari Para,9,0.252185569,31.19877816,0.538798167,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0.175509,40.92593793,0.332863698,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barisal,Gaurnadi,11,0.0,32.07675336,0.10925127300000001,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.24903161899999998,38.73500123,1.100760186,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barisal,Mehendiganj,13,0.133603,40.21319348,0.578085886,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barisal,Muladi,14,0.254052889,35.03380165,1.0400616809999998,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barisal,Wazirpur,15,0.0,32.31834687,0.504845326,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0.132953333,46.32993862,1.4230016719999998,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Bhola,Burhanuddin,17,0.009219,53.0100189,1.381759826,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Bhola,Char Fasson,18,0.8962917859999999,69.6812305,2.558106169,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Barisal,Bhola,Daulatkhan,19,0.34267,51.45334739,0.755158937,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Bhola,Lalmohan,20,0.20730725,62.40304114,1.302211816,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Bhola,Manpura,21,1.138334009,70.75924520000001,2.264774351,MP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Barisal,Bhola,Tazumuddin,22,0.374721533,60.94893635,1.043844093,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Jhalokati,Jhalokati Sadar,23,0.0,34.09942747,0.133587457,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Kanthalia,24,0.0,35.27156702,0.16834290300000002,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Nalchity,25,0.0,37.8978445,0.00016617,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Rajapur,26,0.0,35.0184219,0.0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Bauphal,27,0.117499,51.25563984,1.516377975,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Patuakhali,Dashmina,28,0.0,52.21130606,1.3045206329999999,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dumki,29,0.30579666699999997,42.64763751,0.692789836,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Patuakhali,Galachipa,30,0.603063117,57.19955927,4.085656832,LP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Patuakhali,Kala Para,31,0.24932411100000001,45.88951488,0.9507021640000001,LP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Patuakhali,Mirzaganj,32,0.0,38.88193155,1.6071647409999998,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Patuakhali Sadar,33,0.0,44.97725351,1.289351031,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Bhandaria,34,0.18278133300000002,33.64769943,2.460534743,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Pirojpur,Kawkhali,35,0.0,31.61347821,1.214982915,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Mathbaria,36,0.392884722,33.79601373,2.464636923,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Pirojpur,Nazirpur,37,0.213028107,28.67515915,0.32411716399999996,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Pirojpur,Nesarabad (Swarupkati),38,0.24990549999999997,31.42757911,0.524111488,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Pirojpur,Pirojpur Sadar,39,0.0,30.98723137,1.130723165,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
