Division,District,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.20579385100000003,44.22971185,1.9191086940000002,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barguna,Bamna,2,0.0,35.34189667,1.406139335,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0.0,40.09892236,2.254247907,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Betagi,4,0.0,37.14077098,0.279422584,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,0.257224226,35.85147429,2.8278237999999996,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barisal,Agailjhara,6,0.0,29.62781209,0.0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0.0,34.99622685,0.7278284759999999,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0.137401833,42.35032116,0.72970705,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barisal,Banari Para,9,0.25424619600000004,31.19877816,0.440979439,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0.17508900000000002,40.92593793,0.25377206,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barisal,Gaurnadi,11,0.0,32.07675336,0.154153508,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.25015619,38.73500123,1.5362614069999998,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barisal,Mehendiganj,13,0.15310885,40.21319348,1.022718952,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barisal,Muladi,14,0.325424,35.03380165,0.680200334,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Barisal,Wazirpur,15,0.0,32.31834687,0.636429207,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0.137199333,46.32993862,1.55621354,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Bhola,Burhanuddin,17,0.009219,53.0100189,1.63840007,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Bhola,Char Fasson,18,0.265821236,69.6812305,3.990042068,MP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Bhola,Daulatkhan,19,0.383127375,51.45334739,0.8665680509999999,MP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Bhola,Lalmohan,20,0.20730725,62.40304114,1.826848174,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Bhola,Manpura,21,0.225207447,70.75924520000001,4.337647517,MP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Bhola,Tazumuddin,22,0.2109132,60.94893635,1.763952485,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Jhalokati,Jhalokati Sadar,23,0.0,34.09942747,0.462928261,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
