THACODE,DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,,Wind Speed,,Thrust Force,,,Result,Score,,,,
WEIGHT,,,,,,,,,,,,,,,,,
100409,Barisal,Barguna,Amtali,1,0.661459192,,32.04607151,,3.136932013,,,0,#DIV/0!,,,,
100419,Barisal,Barguna,Bamna,2,0,,30.79863921,,1.386991813,,,0,#DIV/0!,,,,
100428,Barisal,Barguna,Barguna Sadar,3,0,,31.55714028,,0.718566869,,,0,#DIV/0!,,Component Matrixa,,
100447,Barisal,Barguna,Betagi,4,0,,30.24835154,,0.263594116,,,0,#DIV/0!,,,Component,
100485,Barisal,Barguna,Patharghata,5,0.678263,,32.08128018,,2.738300565,,,0,#DIV/0!,,,1,
100602,Barisal,Barisal,Agailjhara,6,0,,30.40035171,,0,,,0,#DIV/0!,,VAR00052,.599,
100603,Barisal,Barisal,Babuganj,7,0,,28.74920198,,0.444762612,,,0,#DIV/0!,,VAR00054,.898,
100607,Barisal,Barisal,Bakerganj,8,0,,28.92236213,,0.616545999,,,0,#DIV/0!,,VAR00056,.848,
100610,Barisal,Barisal,Banari Para,9,0,,30.30857563,,0.453630805,,,0,#DIV/0!,,Extraction Method: Principal Component Analysis.,,
100632,Barisal,Barisal,Barisal Sadar (Kotwali),10,0,,28.47172778,,0.557893931,,,0,#DIV/0!,,a. 1 components extracted.,,
100636,Barisal,Barisal,Gaurnadi,11,0,,30.17083566,,0.076895948,,,0,#DIV/0!,,,,
100651,Barisal,Barisal,Hizla,12,0,,28.33456055,,0.5943779,,,0,#DIV/0!,,,,
100662,Barisal,Barisal,Mehendiganj,13,0.13231325,,27.88062635,,0.98640522,,,0,#DIV/0!,,,,
100669,Barisal,Barisal,Muladi,14,0,,29.12848355,,0.837424455,,,0,#DIV/0!,,,,
100694,Barisal,Barisal,Wazirpur,15,0,,30.45147655,,0.432967755,,,0,#DIV/0!,,,,
100918,Barisal,Bhola,Bhola Sadar,16,0,,26.09018421,,0.341256825,,,0,#DIV/0!,,,,
100921,Barisal,Bhola,Burhanuddin,17,0.009219,,25.18442493,,0.484803619,,,0,#DIV/0!,,,,
100925,Barisal,Bhola,Char Fasson,18,0.810914566,,29.51572699,,2.332526904,,,0,#DIV/0!,,,,
100929,Barisal,Bhola,Daulatkhan,19,0,,24.72727112,,0.820385708,,,0,#DIV/0!,,,,
