DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.206065077,17.31816898,2.377592966,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",26
Barisal,Barguna,Bamna,2,0,13.2482413,0.270730343,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0,15.86946824,2.905592747,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Betagi,4,0,13.48301429,0.033153029,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,0.2557143,15.36663131,2.401802277,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",10
Barisal,Barisal,Agailjhara,6,0,6.594677518,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0,7.984817952,0.832392607,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0,12.48024039,0.475678983,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Banari Para,9,0,7.764100393,0.435680451,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0,10.76668663,0.883823815,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Gaurnadi,11,0,6.393219284,0.064169837,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.811428778,7.197842959,1.560086286,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",9
Barisal,Barisal,Mehendiganj,13,0.541896364,9.79127006,1.370977503,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",11
Barisal,Barisal,Muladi,14,0,7.569583892,1.969927655,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Wazirpur,15,0,7.762669165,2.75671164,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0,13.3161941,0.991603161,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Burhanuddin,17,0.009219,17.36324152,0.956045737,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Bhola,Char Fasson,18,0.255001323,30.2414005,3.23625604,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",65
Barisal,Bhola,Daulatkhan,19,0.515066875,15.08887454,0.620552664,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",8
Barisal,Bhola,Lalmohan,20,0.392088,23.38002648,1.405533077,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1
Barisal,Bhola,Manpura,21,0.38250769,28.51394336,1.437442108,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",71
Barisal,Bhola,Tazumuddin,22,0.434921727,21.01592818,1.271825743,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",11
Barisal,Jhalokati,Jhalokati Sadar,23,0,9.642973183,0.374577138,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Kanthalia,24,0,11.89283852,0.257924849,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Nalchity,25,0,10.63814543,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Rajapur,26,0,10.76175735,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Bauphal,27,0,17.57904366,0.750192342,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dashmina,28,0,19.87974173,0.772544802,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dumki,29,0,13.33553822,0.265629612,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Galachipa,30,0.284857279,24.51689427,2.185764578,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",68
Barisal,Patuakhali,Kala Para,31,0.1943785,19.61916831,1.086587805,LP,"Pacca- No, Semi Pacca- No, Kacha- Full",2
Barisal,Patuakhali,Mirzaganj,32,0,14.14361858,2.044082336,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Patuakhali Sadar,33,0,15.40156513,0.521865703,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Bhandaria,34,0,11.13767367,1.86728518,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Kawkhali,35,0,9.877276379,1.236583405,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Mathbaria,36,0,13.04255713,3.189861182,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Nazirpur,37,0,8.496121314,0.418919837,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Nesarabad (Swarupkati),38,0,8.660692112,0.613168121,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Pirojpur Sadar,39,0,10.02952722,0.647229789,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Zianagar,40,0,10.88362973,1.350260822,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Chandpur Sadar,41,1.222933308,3.724246633,1.278743719,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",13
Chittagong,Chandpur,Faridganj,42,0,5.122127948,0.387277786,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Haim Char,43,0.69427875,5.739862913,0.224033597,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",4
Chittagong,Chandpur,Hajiganj,44,0,4.681213176,0.97995081,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Kachua,45,0,4.317221193,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
