DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.193527278,32.18513519,1.953759513,LP,"Pacca- No, Semi Pacca- No, Kacha- Full",18
Barisal,Barguna,Bamna,2,0,25.71334642,0.657135186,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0,29.693656,2.300726131,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Betagi,4,0,25.14690806,0.124123413,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,0.227072,29.89758128,2.287038657,LP,"Pacca- No, Semi Pacca- No, Kacha- Full",8
Barisal,Barisal,Agailjhara,6,0,18.00805501,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0,16.31389513,0.385303192,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0,20.15994154,0.313551722,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Banari Para,9,0,18.66622833,0.595323868,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0,16.50124926,0.533069362,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Gaurnadi,11,0,16.91518372,0.040923334,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.322204,13.2015374,2.914955722,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",3
Barisal,Barisal,Mehendiganj,13,0.374283667,13.69430787,1.15046427,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",6
Barisal,Barisal,Muladi,14,0,14.72773557,1.145425052,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Wazirpur,15,0,18.63036786,3.31446304,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
