Division,District,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.179445209,46.26382702,2.120347207,LP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barguna,Bamna,2,0.0,36.56882317,2.700352463,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0.0,41.91717889,1.3670919940000001,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Betagi,4,0.0,38.1920009,1.162230268,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,0.275177406,38.32416051,2.140790885,LP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barisal,Agailjhara,6,0.0,26.36809553,0.0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0.0,32.50127214,1.504010167,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0.276040889,41.27420933,1.633099462,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barisal,Banari Para,9,0.1523842,28.80258375,0.9046612509999999,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0.157992333,39.352449,0.9527420209999999,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barisal,Gaurnadi,11,0.0,28.53209143,0.180052407,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.265036372,34.98871192,1.580876914,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barisal,Mehendiganj,13,0.158755125,38.0664519,1.5159999469999998,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barisal,Muladi,14,0.35263144399999996,32.24616088,1.048476749,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Barisal,Wazirpur,15,0.0,29.96528015,1.245853713,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0.165763778,45.32694536,2.8264376330000003,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Bhola,Burhanuddin,17,0.009219,53.28409570000001,2.876490125,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Bhola,Char Fasson,18,0.359060447,74.67583693,8.477600008,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Bhola,Daulatkhan,19,0.311491375,50.35854915,1.749199905,MP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Bhola,Lalmohan,20,0.3239796,64.74028208,1.6035569230000002,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Bhola,Manpura,21,0.6104584,74.74480802,3.134516819,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Barisal,Bhola,Tazumuddin,22,0.358551158,61.89439745,1.98140726,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Jhalokati,Jhalokati Sadar,23,0.0,32.85797469,0.819575761,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Kanthalia,24,0.0,35.16265801,0.18516527300000002,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Nalchity,25,0.0,36.50724652,0.000756666,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Rajapur,26,0.0,34.54476135,0.0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Bauphal,27,0.201773,52.07207571,3.524243406,LP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Patuakhali,Dashmina,28,0.0,54.35908701,2.11716976,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dumki,29,0.697485,42.46804244,0.436542871,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Barisal,Patuakhali,Galachipa,30,0.255649691,61.06253151,2.7662480869999997,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Patuakhali,Kala Para,31,0.272542583,48.59009576,3.2890638310000004,LP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Patuakhali,Mirzaganj,32,0.0,40.07097271,1.176091112,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Patuakhali Sadar,33,0.0,45.77834352,2.600078805,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Bhandaria,34,0.0,33.29136413,1.607008314,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Kawkhali,35,0.0,30.80859697,1.2145098429999999,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Mathbaria,36,0.317755626,34.99484856,2.822068967,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
