Division,District,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.163035605,46.26382702,1.4818832519999998,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barguna,Bamna,2,0.0,36.56882317,1.596132479,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0.0,41.91717889,1.967129244,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Betagi,4,0.0,38.1920009,0.30433388899999997,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,0.27168828100000003,38.32416051,2.053422907,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barisal,Agailjhara,6,0.0,26.36809553,0.0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0.0,32.50127214,0.451873344,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0.214304333,41.27420933,0.818491228,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barisal,Banari Para,9,0.1434186,28.80258375,0.20839435,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0.149904,39.352449,0.512424726,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barisal,Gaurnadi,11,0.0,28.53209143,0.07026660900000001,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.315774884,34.98871192,2.046518523,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Barisal,Mehendiganj,13,0.263385375,38.0664519,1.543372058,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barisal,Muladi,14,0.479804778,32.24616088,2.39625882,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Barisal,Wazirpur,15,0.0,29.96528015,0.510695551,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0.192029222,45.32694536,2.010174866,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Bhola,Burhanuddin,17,0.009219,53.28409570000001,1.765801035,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Bhola,Char Fasson,18,0.256116688,74.67583693,8.001276195,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
