DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,1.0023075614035089,65.4350604,2.4277927619999997,LP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",57.0
Barisal,Barguna,Bamna,2,0.0,57.46665429,4.580075395,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0.0,64.66996194,2.431374102,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Betagi,4,0.0,54.04125236,0.652237772,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,1.0292269666666667,70.94263183,3.085827707,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",30.0
Barisal,Barisal,Agailjhara,6,0.0,31.36789234,0.0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0.0,34.35254129999999,0.483302258,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0.0,42.49701277,0.625224015,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Banari Para,9,0.0,35.22416718,0.703031799,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0.0,35.82165054,0.437721439,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Gaurnadi,11,0.0,30.98488223,0.158482845,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.24560533333333334,29.11478748,0.677427552,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",3.0
Barisal,Barisal,Mehendiganj,13,0.12499199999999999,32.62114389,0.671784728,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",6.0
Barisal,Barisal,Muladi,14,0.0,31.59313488,0.542570281,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Wazirpur,15,0.0,34.43775166,0.772861447,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0.0,33.64560804,0.793075895,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
