DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.717041043,88.28735262,3.261859973,LP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",23
Barisal,Barguna,Bamna,2,0,76.67533086,3.161441763,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0,86.15563415,1.923344978,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Betagi,4,0,72.89578995,0.905360227,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,0.624007867,93.30659238,3.324923051,LP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",15
Barisal,Barisal,Agailjhara,6,0,45.85950613,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0,49.2598382,1.039963523,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0,59.12039112,1.153641301,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Banari Para,9,0,50.43496748,0.21690959,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0,51.00992463,1.003791829,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Gaurnadi,11,0,45.14614565,0.056477848,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0,42.65677821,0.616009128,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Mehendiganj,13,0,47.01433438,0.923561701,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Muladi,14,0,45.79139418,0.688567743,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Wazirpur,15,0,49.38783272,0.730930047,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0,48.29785373,1.507873183,MP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Burhanuddin,17,0.009219,49.75861306,1.512155193,MP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Bhola,Char Fasson,18,0.459543342,60.32289137,2.317285436,MP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",38
