Division,District,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.723327023,112.85326440000001,5.551170217999999,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Barisal,Barguna,Bamna,2,0.0,105.2249832,2.989425672,HP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Barguna,Barguna Sadar,3,0.0,115.1819064,3.504672536,LP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Barguna,Betagi,4,0.0,97.31700000000001,1.4856063330000002,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,0.782559687,129.00982679999998,6.540004115,LP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Barisal,Barisal,Agailjhara,6,0.0,60.701688,0.0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0.0,63.1581552,2.405650554,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0.574274237,77.042772,2.467074894,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Barisal,Banari Para,9,0.568981036,66.815766,2.994691273,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0.44686233299999994,64.67139,2.583035127,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Barisal,Gaurnadi,11,0.0,58.0234752,0.9055559670000001,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.71728729,53.1414828,1.702369754,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Barisal,Barisal,Mehendiganj,13,0.656388107,57.713976,1.6729900569999998,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Barisal,Barisal,Muladi,14,1.153527333,57.6193248,2.454362067,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Barisal,Barisal,Wazirpur,15,0.5900592889999999,65.0737728,1.439498748,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Bhola,Bhola Sadar,16,0.24993400000000002,58.433857200000006,1.5210756859999999,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Bhola,Burhanuddin,17,0.009219,58.783237199999995,1.210472163,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Bhola,Char Fasson,18,0.357620709,67.806054,2.477141421,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Bhola,Daulatkhan,19,0.46845225,55.619704799999994,1.092446338,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Bhola,Lalmohan,20,0.26568025,62.06458320000001,1.195994631,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Bhola,Manpura,21,0.365356202,54.8840808,2.8227301519999997,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Bhola,Tazumuddin,22,0.435567529,55.282121999999994,1.922119858,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Jhalokati,Jhalokati Sadar,23,0.34293251700000005,74.270718,1.676239984,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Jhalokati,Kanthalia,24,0.33914362299999995,92.6513748,3.2704758689999998,LP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Jhalokati,Nalchity,25,0.332620636,75.82270679999999,1.9266918709999998,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Jhalokati,Rajapur,26,0.34755094700000005,82.302462,2.054817731,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Patuakhali,Bauphal,27,0.47030879999999997,69.711822,1.864314232,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Patuakhali,Dashmina,28,0.0,70.5855636,2.263548287,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dumki,29,1.4867593330000002,75.1831128,2.05070648,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Barisal,Patuakhali,Galachipa,30,0.469867232,89.1849672,3.547776119,LP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Patuakhali,Kala Para,31,0.398804889,105.99436440000001,3.863130586,LP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
