DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,2.437859168224299,146.07176465168155,11.783306927408303,LP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",107.0
Barisal,Barguna,Bamna,2,0.0,128.04879105613395,19.5603761819937,HP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Barguna,Barguna Sadar,3,0.0,143.60759156971886,12.976636494822,HP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Barguna,Betagi,4,0.0,120.51871665038847,4.03952657074516,LP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Barguna,Patharghata,5,2.585632333333333,157.71556596692565,11.469551235887199,LP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",72.0
Barisal,Barisal,Agailjhara,6,0.0,75.85585217059067,0.0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0.0,80.27636382048208,3.52344303584635,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0.064933,96.67385478123246,3.74137753134542,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",3.0
Barisal,Barisal,Banari Para,9,0.0,83.12545137362699,1.9068449498027098,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0.0,82.71210497781532,3.78961295522731,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Gaurnadi,11,0.0,73.8320270615365,2.04467868117956,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.36743533333333334,69.02619786213883,1.89648586853711,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",3.0
Barisal,Barisal,Mehendiganj,13,0.07011066666666667,75.50103318221095,2.87529964985726,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",6.0
Barisal,Barisal,Muladi,14,0.5341425,74.23138554300729,3.28091836280958,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",2.0
Barisal,Barisal,Wazirpur,15,0.0,81.05723163378514,3.7234834599157103,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0.0,76.97942000060785,3.8803771711333503,MP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Burhanuddin,17,0.009219,78.72748965790113,3.32138079219503,MP,"Pacca- No, Semi Pacca- No, Kacha- Full",1.0
Barisal,Bhola,Char Fasson,18,1.136459722580645,94.43869462065894,6.45076901902046,MP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",155.0
Barisal,Bhola,Daulatkhan,19,0.0,74.69612571598647,2.11584164233108,MP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Lalmohan,20,0.392088,84.00105250098633,2.03905578539082,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1.0
Barisal,Bhola,Manpura,21,0.85753590625,77.55738055622484,3.5050717691043802,MP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",64.0
Barisal,Bhola,Tazumuddin,22,0.3710086,75.63150089754839,2.05063976916541,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",5.0
Barisal,Jhalokati,Jhalokati Sadar,23,0.0,92.2442360206458,4.83858798940721,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Kanthalia,24,0.0,113.44888056319682,1.8997856867723302,HP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Jhalokati,Nalchity,25,0.0,95.29900394058897,0.000427584063770671,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Rajapur,26,0.0,101.44000068962491,0.0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Partial",
