DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,1.1663023229166662,145.89767100919718,10.206224229832099,LP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",96.0
Barisal,Barguna,Bamna,2,0.0,127.12504214875997,9.009153110455589,HP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Barguna,Barguna Sadar,3,0.0,142.81709114552743,6.778850977786719,HP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Barguna,Betagi,4,0.0,119.9128616989571,4.12301294814179,LP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Barguna,Patharghata,5,1.4094454492753623,156.49219056638904,19.865348137225897,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",69.0
Barisal,Barisal,Agailjhara,6,0.0,75.8796881573506,0.0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0.0,80.30935886734255,3.86635924352386,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0.0,96.49407391488631,4.1015761851948795,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Banari Para,9,0.29406521052631573,83.05620561539149,2.16453012106281,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",19.0
Barisal,Barisal,Barisal Sadar (Kotwali),10,0.0,82.75870261606916,4.05634759390792,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Gaurnadi,11,0.0,73.90213179835007,1.89308278888585,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.7336246666666667,69.204218352681,2.51712743507403,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",9.0
Barisal,Barisal,Mehendiganj,13,0.6428417,75.6996847858481,3.6216188602171298,MP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",10.0
Barisal,Barisal,Muladi,14,0.0,74.35502144105766,2.97416261684217,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Wazirpur,15,0.0,81.01063908819108,2.69449832240615,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0.0,77.2383691704118,4.539027227075059,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Burhanuddin,17,0.009219,79.06704914851842,4.483484688981389,MP,"Pacca- No, Semi Pacca- No, Kacha- Full",1.0
Barisal,Bhola,Char Fasson,18,0.42041264516129023,95.2657831118853,5.7385290255939605,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",62.0
Barisal,Bhola,Daulatkhan,19,0.352122,74.98978368434388,2.2087625601852996,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1.0
Barisal,Bhola,Lalmohan,20,0.392088,84.40281972795398,2.17010076466629,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1.0
Barisal,Bhola,Manpura,21,0.32865641818181807,78.2460353179922,3.4116637073862006,MP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",55.0
Barisal,Bhola,Tazumuddin,22,0.5410137142857143,76.05903734251157,2.94796553110494,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",7.0
Barisal,Jhalokati,Jhalokati Sadar,23,0.0,92.03456048902305,3.89251475572312,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Kanthalia,24,0.0,112.86522118776438,6.240429149146769,HP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Jhalokati,Nalchity,25,0.0,95.12721974410134,1.23281050502373,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Rajapur,26,0.0,101.06352418349309,0.0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Patuakhali,Bauphal,27,0.0,91.28540146474938,4.04564419473062,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dashmina,28,0.0,94.98522415475968,3.95408292191736,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dumki,29,0.2110655,96.03801497679798,3.1395039276890295,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",2.0
Barisal,Patuakhali,Galachipa,30,0.8841362291666667,121.56221513885562,10.3124517657893,LP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",96.0
Barisal,Patuakhali,Kala Para,31,0.9781058,140.525649736698,17.2049938820729,LP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",5.0
Barisal,Patuakhali,Mirzaganj,32,0.0,111.71105805669484,6.0117573224688305,HP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Patuakhali,Patuakhali Sadar,33,0.0,109.33189190280984,8.5334597830196,LP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Pirojpur,Bhandaria,34,0.6435806666666667,118.18317817505633,10.089667613719199,LP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",3.0
Barisal,Pirojpur,Kawkhali,35,0.0020829999999999998,101.63927343520908,3.57124751902047,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",1.0
