DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.985247182,85.1396954,3.764535628,LP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",66
Barisal,Barguna,Bamna,2,0,65.95472517,5.123143094,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0,82.54319396,3.224109522,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Betagi,4,0,61.48579148,0.974392822,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,0.954768882,85.34780102,3.344641065,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",34
Barisal,Barisal,Agailjhara,6,0,26.28237089,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0,30.93838388,0.41417464,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0,42.57989663,0.532343295,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Banari Para,9,0,31.25249927,0.611433511,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0,33.39246739,0.443817861,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Gaurnadi,11,0,26.39177507,0.046647497,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0,25.19883394,0.511522486,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Mehendiganj,13,0.123971,29.99810629,0.825930212,MP,"Pacca- No, Semi Pacca- No, Kacha- Full",2
Barisal,Barisal,Muladi,14,0,28.02369479,0.65018001,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Wazirpur,15,0,30.73021774,0.514853352,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0,31.94189869,0.607543715,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Burhanuddin,17,0.009219,33.95135414,0.911686364,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Bhola,Char Fasson,18,1.003652426,45.39517507,1.764066283,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",61
Barisal,Bhola,Daulatkhan,19,0,30.95242463,0.62879196,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Lalmohan,20,0.392088,37.91043313,1.365409934,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1
Barisal,Bhola,Manpura,21,0.587795326,34.15044835,0.90061921,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",43
