DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.7387984791666665,98.55673718,5.1053890091566,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",96.0
Barisal,Barguna,Bamna,2,0.0,90.63432862,10.6385183836342,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0.0,97.73376718,7.17310867085243,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Betagi,4,0.0,86.37939112,2.1066308930569,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,0.7783741914893617,95.11587987,7.01736578385625,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",47.0
Barisal,Barisal,Agailjhara,6,0.0,39.52293629,0.0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0.0,45.82108355,0.93863619862165,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0.0,61.66699598,0.9807880006835359,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Banari Para,9,0.0,46.32011485,0.548122900231143,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0.0,49.06659594,0.8996534803745121,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Gaurnadi,11,0.0,39.65719601,0.342220114151489,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.249977,37.75783118,0.8051583151912941,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",3.0
Barisal,Barisal,Mehendiganj,13,0.1210845,44.15432713,1.00475901617009,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",6.0
Barisal,Barisal,Muladi,14,0.0,41.70297085,0.569618325036072,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Wazirpur,15,0.0,45.56533094,1.27390222172064,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0.0,46.41221957,1.36510921030507,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Burhanuddin,17,0.009219,48.53305725,1.7372880260725,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1.0
Barisal,Bhola,Char Fasson,18,1.1547493209876543,60.01454820000001,2.8486476824904705,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",81.0
Barisal,Bhola,Daulatkhan,19,0.0,44.844660299999994,0.725800372733933,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Lalmohan,20,0.392088,53.19826238,1.19474356304819,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1.0
Barisal,Bhola,Manpura,21,0.7991750517241382,46.77510104,2.21876573256153,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",58.0
Barisal,Bhola,Tazumuddin,22,0.2974446,46.01473332,1.8328825202788401,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",5.0
Barisal,Jhalokati,Jhalokati Sadar,23,0.0,54.73456815,1.27309737125897,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Kanthalia,24,0.0,76.38398832,0.64728302033663,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Nalchity,25,0.0,59.94281087,0.321453907136151,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Rajapur,26,0.0,63.15746109,0.130377904504853,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Bauphal,27,0.0,59.43307969,2.18348426291726,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dashmina,28,0.0,62.68899633,3.13443022349877,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dumki,29,0.0,63.044432799999996,0.943245148011986,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Galachipa,30,1.0633833613445383,81.33622421,7.886578170358731,LP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",119.0
Barisal,Patuakhali,Kala Para,31,0.6752855000000001,96.47704252,4.6764909554672,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",6.0
Barisal,Patuakhali,Mirzaganj,32,0.0,79.14454763,3.8113067823709903,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Patuakhali Sadar,33,0.0,77.4379127,4.85848801252872,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Bhandaria,34,0.676723,75.89109333,6.71391861956684,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",1.0
Barisal,Pirojpur,Kawkhali,35,0.0,61.73091909,0.8348404938710441,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Mathbaria,36,0.7117604415584414,91.47675031,3.39886049943307,LP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",77.0
Barisal,Pirojpur,Nazirpur,37,0.0,51.33898416,1.49433766215763,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Nesarabad (Swarupkati),38,0.0,52.11841845,1.62038962970305,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Pirojpur Sadar,39,0.0,63.22960457,5.179337417068231,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Zianagar,40,0.839663,74.12140414,8.93625765914401,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",2.0
Chittagong,Chandpur,Chandpur Sadar,41,0.35781680000000005,30.14328348,2.2032442567186497,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",10.0
Chittagong,Chandpur,Faridganj,42,0.0,30.71523686,0.12408675923572,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Haim Char,43,0.209179,33.05009769,0.6633561016099631,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",1.0
Chittagong,Chandpur,Hajiganj,44,0.0,26.745685700000003,0.40945162394904205,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
