DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,1.079104395,134.6042135,9.49186635,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",76
Barisal,Barguna,Bamna,2,0,110.3611649,8.215520819,LP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Barguna,Barguna Sadar,3,0,131.7682974,6.045494036,HP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Barguna,Betagi,4,0,103.9434752,2.925865003,HP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Barguna,Patharghata,5,0.985330102,135.24004,12.91869672,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",49
Barisal,Barisal,Agailjhara,6,0,53.12083835,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0,59.85753132,1.717310709,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0,76.8566666,2.090122123,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Banari Para,9,0,60.72124714,0.541867907,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0,63.23441056,1.752964553,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Gaurnadi,11,0,53.12726535,0.072602907,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0,50.41986388,0.82373877,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Mehendiganj,13,0,57.61854482,1.600580885,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Muladi,14,0,55.00510874,1.139969053,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Wazirpur,15,0,59.68804641,0.821327732,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0,60.14859164,2.419290316,MP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Burhanuddin,17,0.009219,62.76952888,2.335156965,MP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Bhola,Char Fasson,18,0.686834349,78.81867524,4.058890302,MP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",43
Barisal,Bhola,Daulatkhan,19,0,58.40159917,0.995109773,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Lalmohan,20,0.392088,68.47478799,0.969083252,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1
Barisal,Bhola,Manpura,21,0.4155328,62.17222275,2.009713499,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",30
Barisal,Bhola,Tazumuddin,22,0.256279,60.06598599,1.144914085,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",2
Barisal,Jhalokati,Jhalokati Sadar,23,0,69.61368919,0.350616813,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
