THACODE,DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,,,
,,,,,0.145986817,0.413930654,0.440082529,,,
100409,Barisal,Barguna,Amtali,1,0.648608955,134.6042135,7.897526977,,59.28706212,88.36748653
100419,Barisal,Barguna,Bamna,2,0,110.3611649,3.925501899,,47.40941397,65.66664982
100428,Barisal,Barguna,Barguna Sadar,3,0,131.7682974,3.72117462,,56.18056145,82.4302704
100447,Barisal,Barguna,Betagi,4,0,103.9434752,3.030083018,,44.35887729,59.83639335
100485,Barisal,Barguna,Patharghata,5,0.6514531,135.24004,21.12872707,,65.37348544,100
100602,Barisal,Barisal,Agailjhara,6,0,53.12083835,0,,21.98834336,17.0813099
100603,Barisal,Barisal,Babuganj,7,0,59.85753132,2.051371333,,25.67963977,24.13620124
100607,Barisal,Barisal,Bakerganj,8,0,76.8566666,2.145001328,,32.75730788,37.66320474
100610,Barisal,Barisal,Banari Para,9,0,60.72124714,0.402280618,,25.31142221,23.4324553
100632,Barisal,Barisal,Barisal Sadar (Kotwali),10,0,63.23441056,2.200186971,,27.14292477,26.93286547
100636,Barisal,Barisal,Gaurnadi,11,0,53.12726535,0.077173046,,22.0249662,17.15130432
100651,Barisal,Barisal,Hizla,12,0.5753675,50.41986388,1.995858663,,21.83266583,16.78377539
100662,Barisal,Barisal,Mehendiganj,13,0.4325175,57.61854482,1.830115671,,24.71862573,22.2994889
100669,Barisal,Barisal,Muladi,14,0,55.00510874,1.564283074,,23.45671429,19.88769448
100694,Barisal,Barisal,Wazirpur,15,0,59.68804641,1.281438893,,25.27065096,23.35453233
100918,Barisal,Bhola,Bhola Sadar,16,0,60.14859164,1.610638778,,25.60615986,23.99576473
100921,Barisal,Bhola,Burhanuddin,17,0.009219,62.76952888,1.410612983,,26.60436412,25.90355587
100925,Barisal,Bhola,Char Fasson,18,0.360604268,78.81867524,3.26497082,,34.11496588,40.25799219
100929,Barisal,Bhola,Daulatkhan,19,0,58.40159917,0.626410953,,24.44988466,21.78586473
100954,Barisal,Bhola,Lalmohan,20,0.392088,68.47478799,0.950817236,,28.81949151,30.13715873
100965,Barisal,Bhola,Manpura,21,0.28564575,62.17222275,2.002966754,,26.65816001,26.00637183
100991,Barisal,Bhola,Tazumuddin,22,0.5551354,60.06598599,2.356088427,,25.98106867,24.71229914
104240,Barisal,Jhalokati,Jhalokati Sadar,23,0,69.61368919,1.816523931,,29.61466034,31.65690384
104243,Barisal,Jhalokati,Kanthalia,24,0,92.86939351,1.213867005,,38.97569046,49.54792179
104273,Barisal,Jhalokati,Nalchity,25,0,75.09420207,0,,31.08379218,34.46474269
104284,Barisal,Jhalokati,Rajapur,26,0,78.95557245,0,,32.68213174,37.51952635
107838,Barisal,Patuakhali,Bauphal,27,0,74.70994255,1.660716536,,31.65558772,35.55757159
107852,Barisal,Patuakhali,Dashmina,28,0,79.65898619,1.528995872,,33.64618062,39.36203894
107855,Barisal,Patuakhali,Dumki,29,0,78.30757467,1.601051577,,33.11850043,38.35352431
107857,Barisal,Patuakhali,Galachipa,30,0.523213014,107.8331271,3.703855279,,46.34182103,63.62624144
