DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,2.940332682242991,238.24556977988908,43.7518716726396,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",107.0
Barisal,Barguna,Bamna,2,0.0,187.83714818871482,31.3716780273212,HP,"Pacca- No, Semi Pacca- Partial, Kacha- Full",
Barisal,Barguna,Barguna Sadar,3,0.0,230.6344761313397,33.2491063485867,HP,"Pacca- No, Semi Pacca- Partial, Kacha- Full",
Barisal,Barguna,Betagi,4,0.0,175.69287920907473,7.247752201626941,HP,"Pacca- No, Semi Pacca- Partial, Kacha- Full",
Barisal,Barguna,Patharghata,5,2.87817211111111,247.42303847633522,38.954950292123,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",72.0
Barisal,Barisal,Agailjhara,6,0.0,91.03999356249687,0.0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0.0,101.01380799965561,8.95236932819768,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Barisal,Bakerganj,8,0.43368333333333337,128.78572216580744,7.2005514264042,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",3.0
Barisal,Barisal,Banari Para,9,0.1551798,103.05048726046006,2.4644790419065297,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",5.0
Barisal,Barisal,Barisal Sadar (Kotwali),10,0.21563600000000002,106.09187478050463,8.46215104648188,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",1.0
Barisal,Barisal,Gaurnadi,11,0.0,90.3973741904919,1.8024895584769898,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.9137236250000002,85.15933306020736,4.64750434597864,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",16.0
Barisal,Barisal,Mehendiganj,13,0.7110430625000002,96.25964543508934,6.47660326922387,MP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",16.0
Barisal,Barisal,Muladi,14,0.0,92.65345701711225,5.78779187451263,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Wazirpur,15,0.0,100.9883403834829,3.0115016149563503,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Bhola,Bhola Sadar,16,0.40028800000000003,99.84659252722551,6.43216632893709,MP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1.0
Barisal,Bhola,Burhanuddin,17,0.009219,103.71646202561806,5.720295721761071,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1.0
Barisal,Bhola,Char Fasson,18,0.9862781954022993,131.1060997829785,10.889187907857401,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",87.0
Barisal,Bhola,Daulatkhan,19,0.4719565,96.73410794023107,4.15950968781977,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",2.0
Barisal,Bhola,Lalmohan,20,0.392088,113.05008936581413,3.8724428965898903,MP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1.0
