DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.19465915384615384,69.39856084,1.9203106181957599,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",26.0
Barisal,Barguna,Bamna,2,0.0,47.82010131,2.51505693007887,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0.0,61.71546796,1.7197307686047598,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Betagi,4,0.0,51.94758662,0.44495935313387797,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,0.2417026666666667,50.94943426,3.0162846915491097,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",12.0
Barisal,Barisal,Agailjhara,6,0.0,26.78379894,0.0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0.0,36.78553151,0.8868952280797701,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0.0,55.53317044,1.6635542079033703,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Banari Para,9,0.0,30.365266700000003,0.476876701698492,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0.0,48.99443347,1.32911269294022,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Gaurnadi,11,0.0,30.43216484,0.0392079154298915,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.6295873333333334,38.06734419,2.13887178980603,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",3.0
Barisal,Barisal,Mehendiganj,13,0.6065403333333335,45.61209043,1.30924217515425,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",6.0
Barisal,Barisal,Muladi,14,0.0,36.21959716,1.50818520215089,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Wazirpur,15,0.0,32.46557685,0.730008107515606,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0.0,58.00961216,1.7028580806337899,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Burhanuddin,17,0.009219,71.73718778,1.3947662312928601,MP,"Pacca- No, Semi Pacca- No, Kacha- Full",1.0
Barisal,Bhola,Char Fasson,18,0.4458273529411766,103.97456770000001,8.85117588610237,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",68.0
Barisal,Bhola,Daulatkhan,19,0.610951,59.25502277,0.745549884682779,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",1.0
Barisal,Bhola,Lalmohan,20,0.392088,89.19289719,2.1415539997738997,MP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1.0
Barisal,Bhola,Manpura,21,0.3993001212121212,94.45683691,3.3517457893425298,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",66.0
Barisal,Bhola,Tazumuddin,22,0.6441613333333334,77.68995266,3.47204325908656,MP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",9.0
Barisal,Jhalokati,Jhalokati Sadar,23,0.0,38.16546422,0.49761017045366707,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Kanthalia,24,0.0,43.67878753,0.320354198641062,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Nalchity,25,0.0,45.05623414,0.0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Rajapur,26,0.0,42.06239914,0.0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Bauphal,27,0.0,78.6685203,2.3003492269334,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dashmina,28,0.0,83.00917196,4.545345838308901,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dumki,29,0.0,59.82134961,1.19584317948449,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Galachipa,30,0.40840730666666675,96.012326,7.21263989857138,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",75.0
Barisal,Patuakhali,Kala Para,31,0.1977375,77.17683787,3.4564323984376903,LP,"Pacca- No, Semi Pacca- No, Kacha- Full",2.0
