THACODE,DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,,Result,Score
WEIGHT,,,,,,,,,,
100409,Barisal,Barguna,Amtali,1,0.262675291,195.0090165,19.30460293,,0,#DIV/0!
100419,Barisal,Barguna,Bamna,2,0,129.2365643,20.08385663,,0,#DIV/0!
100428,Barisal,Barguna,Barguna Sadar,3,0,166.1367214,8.861310628,,0,#DIV/0!
100447,Barisal,Barguna,Betagi,4,0,136.5727199,10.39583626,,0,#DIV/0!
100485,Barisal,Barguna,Patharghata,5,0.305750714,147.4052919,10.01029271,,0,#DIV/0!
100602,Barisal,Barisal,Agailjhara,6,0,69.59682448,0,,0,#DIV/0!
100603,Barisal,Barisal,Babuganj,7,0,87.88092812,4.205224654,,0,#DIV/0!
100607,Barisal,Barisal,Bakerganj,8,0,126.3072776,9.624561879,,0,#DIV/0!
100610,Barisal,Barisal,Banari Para,9,0,78.85906651,2.298480288,,0,#DIV/0!
100632,Barisal,Barisal,Barisal Sadar (Kotwali),10,0,109.0049331,5.902094078,,0,#DIV/0!
100636,Barisal,Barisal,Gaurnadi,11,0,74.6666917,2.337923746,,0,#DIV/0!
100651,Barisal,Barisal,Hizla,12,0.413,85.53347588,3.999464842,,0,#DIV/0!
100662,Barisal,Barisal,Mehendiganj,13,0.103259,101.7082883,5.238809266,,0,#DIV/0!
100669,Barisal,Barisal,Muladi,14,0,85.98728886,2.39257304,,0,#DIV/0!
100694,Barisal,Barisal,Wazirpur,15,0,81.8937053,5.030420826,,0,#DIV/0!
100918,Barisal,Bhola,Bhola Sadar,16,0,122.6571052,8.681308097,,0,#DIV/0!
100921,Barisal,Bhola,Burhanuddin,17,0.009219,146.6275952,9.317129126,,0,#DIV/0!
100925,Barisal,Bhola,Char Fasson,18,4.433480793,264.4359189,113.0756585,,0,#DIV/0!
100929,Barisal,Bhola,Daulatkhan,19,0,123.8254853,8.854756196,,0,#DIV/0!
100954,Barisal,Bhola,Lalmohan,20,1.095815889,183.4153687,17.13482099,,0,#DIV/0!
100965,Barisal,Bhola,Manpura,21,2.381347171,206.6066808,34.31457914,,0,#DIV/0!
100991,Barisal,Bhola,Tazumuddin,22,0.605075286,158.2297866,11.51616216,,0,#DIV/0!
104240,Barisal,Jhalokati,Jhalokati Sadar,23,0,96.23552456,3.806237245,,0,#DIV/0!
104243,Barisal,Jhalokati,Kanthalia,24,0,114.6295941,3.202240416,,0,#DIV/0!
104273,Barisal,Jhalokati,Nalchity,25,0,106.4004531,3.780727428,,0,#DIV/0!
104284,Barisal,Jhalokati,Rajapur,26,0,106.4641251,0,,0,#DIV/0!
107838,Barisal,Patuakhali,Bauphal,27,0,163.9125909,10.20725373,,0,#DIV/0!
107852,Barisal,Patuakhali,Dashmina,28,0,212.6208221,28.49417443,,0,#DIV/0!
107855,Barisal,Patuakhali,Dumki,29,0,134.7638608,9.419712286,,0,#DIV/0!
