THACODE,DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,,Wind Speed,,Thrust Force,,,Result,Score
WEIGHT,,,,,0.329150517,,0.328475674,,0.342373809,,,,
100409,Barisal,Barguna,Amtali,1,0.183603944,3.314348199,161.7072352,52.4867534,9.215776486,6.321655127,,20.49591026,19.0638868
100419,Barisal,Barguna,Bamna,2,0,0,87.36641747,28.30818009,8.526559007,5.848879424,,11.30105166,9.703410892
100428,Barisal,Barguna,Barguna Sadar,3,0,0,126.6035018,41.06963133,8.560022825,5.871834268,,15.50073709,13.97874083
100447,Barisal,Barguna,Betagi,4,0,0,99.41531081,32.22695661,2.490836733,1.70861466,,11.1707562,9.570768557
100485,Barisal,Barguna,Patharghata,5,0.228997125,4.133768546,105.5764981,34.23081833,7.980197842,5.474097454,,14.47881077,12.93840763
100602,Barisal,Barisal,Agailjhara,6,0,0,69.04383269,22.34895106,0,0,,7.341086759,5.672119314
100603,Barisal,Barisal,Babuganj,7,0,0,87.97777271,28.50701699,6.270702955,4.30145214,,10.83656617,9.230559114
100607,Barisal,Barisal,Bakerganj,8,0.0124605,0.224932182,120.24749,39.00240498,9.539731242,6.54387517,,15.12582927,13.59708019
100610,Barisal,Barisal,Banari Para,9,0,0,71.52631781,23.15635338,1.121132545,0.769052213,,7.869602115,6.21015426
100632,Barisal,Barisal,Barisal Sadar (Kotwali),10,0,0,112.5929306,36.5128396,8.31446374,5.703390529,,13.94627113,12.39627592
100636,Barisal,Barisal,Gaurnadi,11,0,0,79.40785075,25.71973952,1.296206589,0.889146025,,8.752729081,7.109188063
100651,Barisal,Barisal,Hizla,12,0.966199714,17.44146782,102.1578408,33.1189358,6.819535213,4.67792918,,18.22123334,16.74823852
100662,Barisal,Barisal,Mehendiganj,13,0.792793316,14.31120183,108.478629,35.17470605,8.792205803,6.031102531,,18.3294663,16.85842096
100669,Barisal,Barisal,Muladi,14,0,0,88.63088132,28.71943373,5.446222249,3.735891257,,10.71270667,9.104468663
100694,Barisal,Barisal,Wazirpur,15,0,0,76.08691582,24.63964017,3.036820724,2.083137903,,8.806734268,7.164165988
100918,Barisal,Bhola,Bhola Sadar,16,0.3933778,7.101105643,133.3973312,43.27925327,13.05511801,8.955290292,,19.61957132,18.17176329
100921,Barisal,Bhola,Burhanuddin,17,0.009219,0.166417863,161.4482076,52.40250739,11.81934531,8.107599505,,20.04355518,18.60338392
100925,Barisal,Bhola,Char Fasson,18,5.539669733,100,307.7941676,100,145.78107,100,,100,100
100929,Barisal,Bhola,Daulatkhan,19,1.746246429,31.52257288,140.9964616,45.75079094,10.93997731,7.504388128,,27.97299899,26.67565246
100954,Barisal,Bhola,Lalmohan,20,2.887685,52.12738555,205.3765529,66.68974218,18.95897718,13.00510223,,43.51632029,42.49893924
100965,Barisal,Bhola,Manpura,21,4.186045259,75.56488854,237.3269586,77.08127741,50.28912499,34.49633412,,62.00218798,61.3177734
100991,Barisal,Bhola,Tazumuddin,22,1.466354703,26.47007446,180.4709362,58.58945087,22.1841431,15.21743742,,33.16790007,31.96412382
104240,Barisal,Jhalokati,Jhalokati Sadar,23,0,0,81.43719644,26.37976298,0.417516625,0.286399753,,8.763166194,7.119813169
104243,Barisal,Jhalokati,Kanthalia,24,0,0,85.17693696,27.59607446,1.306759756,0.896385077,,9.371537927,7.739142861
104273,Barisal,Jhalokati,Nalchity,25,0,0,99.80168469,32.35262068,1.627108844,1.116131775,,11.00918316,9.406285278
104284,Barisal,Jhalokati,Rajapur,26,0,0,84.072535,27.23687928,0.001996903,0.001369796,,8.947121256,7.307081619
107838,Barisal,Patuakhali,Bauphal,27,0,0,171.227885,55.58324516,15.74003312,10.79703498,,21.9543659,20.54861207
107852,Barisal,Patuakhali,Dashmina,28,0,0,212.9199609,69.14315672,29.3006867,20.09910251,,29.59325128,28.32508865
107855,Barisal,Patuakhali,Dumki,29,0,0,127.6558471,41.41189563,8.42036706,5.776035983,,15.58036376,14.05980174
