DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.69757556,85.70265431,1.029188249,LP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",25
Barisal,Barguna,Bamna,2,0,74.0876472,5.820007379,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0,81.45097287,3.145378015,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Betagi,4,0,75.53344303,1.837085166,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,0.6377032,75.86516368,3.572769497,LP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",5
Barisal,Barisal,Agailjhara,6,0,30.65766722,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0,37.90593912,0.63263111,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0,55.57236961,0.866585357,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Banari Para,9,0,36.66741011,0.667704293,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0,43.3370574,0.783867705,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Gaurnadi,11,0,31.65939032,0.084158552,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0,32.24260416,0.502984246,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Mehendiganj,13,0.129304667,39.80021936,0.875809504,MP,"Pacca- No, Semi Pacca- No, Kacha- Full",3
Barisal,Barisal,Muladi,14,0,35.51493397,0.525834039,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Wazirpur,15,0,36.97469987,0.80607134,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0,44.62824498,1.11360571,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Burhanuddin,17,0.009219,49.89353521,1.300151937,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Bhola,Char Fasson,18,1.047658313,72.32712463,3.440973518,MP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",67
Barisal,Bhola,Daulatkhan,19,0,43.94903173,0.572824573,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Lalmohan,20,0.392088,58.16492895,0.769229811,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1
Barisal,Bhola,Manpura,21,0.46923669,51.46398936,1.376485468,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",42
Barisal,Bhola,Tazumuddin,22,0.235643333,47.81545131,1.686948986,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",3
Barisal,Jhalokati,Jhalokati Sadar,23,0,46.24904403,0.692664503,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Kanthalia,24,0,63.25895533,0.538766972,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Nalchity,25,0,52.14764708,0.318832771,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Rajapur,26,0,53.10956447,0.242312108,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Bauphal,27,0,61.99189151,1.001519987,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dashmina,28,0,73.34720014,2.96385465,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dumki,29,0,60.71984904,0.863047602,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Galachipa,30,1.093392788,89.43386442,9.966239717,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",113
Barisal,Patuakhali,Kala Para,31,0.559885333,86.99249967,7.58634414,LP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",3
Barisal,Patuakhali,Mirzaganj,32,0,77.46711561,3.442566373,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Patuakhali Sadar,33,0,77.85663218,3.702177568,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Bhandaria,34,0,56.83625472,1.407418802,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Kawkhali,35,0,47.59266645,1.298146022,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Mathbaria,36,0,71.3155618,2.764761082,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Nazirpur,37,0,37.79280137,0.467286701,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Nesarabad (Swarupkati),38,0,40.50252055,1.098110001,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Pirojpur Sadar,39,0,48.52401889,0.938624526,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Zianagar,40,0,52.62663759,1.995134685,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Chandpur Sadar,41,0.3990955,24.7235655,1.617789314,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",2
Chittagong,Chandpur,Faridganj,42,0,26.24966563,0.202145314,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Haim Char,43,0,28.25456207,0.36535634,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Hajiganj,44,0,22.87764857,1.184039597,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Kachua,45,0,20.94961221,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Matlab Dakshin,46,0,21.45473462,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Matlab Uttar,47,0,20.57107868,0.737230636,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Shahrasti,48,0,23.20073938,0.156997327,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chittagong,Anowara,49,0.679555429,24.73695672,0.57438431,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",14
Chittagong,Chittagong,Banshkhali,50,0.31938615,24.36251336,0.353821477,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",20
Chittagong,Chittagong,Boalkhali,51,0,23.11770653,1.537709864,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",1
Chittagong,Chittagong,Chandanaish,52,0,22.89963426,0.085203667,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chittagong,Fatikchhari,54,0.65,23.24967035,0.022011162,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",1
Chittagong,Chittagong,Hathazari,55,0,23.63265325,0.18185496,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chittagong,Chittagong City Corporation,53,0.248756167,24.90368023,1.969472279,LP,"Pacca- No, Semi Pacca- No, Kacha- Full",6
Chittagong,Chittagong,Lohagara,56,0,22.59373502,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chittagong,Mirsharai,57,0,25.47200077,0.328698746,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chittagong,Patiya,58,0,24.38441667,2.263477195,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chittagong,Rangunia,59,1.485801909,21.47023499,3.656497684,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",230
Chittagong,Chittagong,Raozan,60,0.411090042,22.56046263,2.928173674,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",24
Chittagong,Chittagong,Sandwip,61,0.691699524,31.34877116,0.733888703,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",63
Chittagong,Chittagong,Satkania,62,0,23.0425752,0.160550761,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chittagong,Sitakunda,63,0.520713,24.70393222,0.662341871,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1
Chittagong,Cox'S Bazar,Chakaria,64,0.701546,23.48658715,0.44763065,LP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",2
Chittagong,Cox'S Bazar,Cox'S Bazar Sadar,65,0,22.7633416,0.579748298,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Cox'S Bazar,Kutubdia,66,0.783384333,25.08605706,0.809854576,LP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",6
Chittagong,Cox'S Bazar,Maheshkhali,67,0.81610345,24.62522376,1.594092419,LP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",20
Chittagong,Cox'S Bazar,Pekua,68,0.3563735,24.27510525,3.822994089,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",6
Chittagong,Cox'S Bazar,Ramu,69,0,21.91999422,0.264651921,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Cox'S Bazar,Teknaf,70,1.8635805,20.09513531,0.232789482,LP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",10
Chittagong,Cox'S Bazar,Ukhia,71,0,21.19002136,0.166972053,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Feni,Chhagalnaiya,72,0,22.41372433,0.540517123,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Feni,Daganbhuiyan,73,0,25.1379622,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Feni,Feni Sadar,74,0,23.23375731,0.214328172,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Feni,Fulgazi,75,0,21.25489853,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Feni,Parshuram,76,0,19.9932535,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Feni,Sonagazi,77,0.3589525,25.743989,0.776123462,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",2
Chittagong,Lakshmipur,Kamalnagar,78,0,36.73137357,0.413489914,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Lakshmipur,Lakshmipur Sadar,79,0.231461,33.23877956,0.979882412,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Chittagong,Lakshmipur,Ramganj,80,0,26.21292581,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Lakshmipur,Ramgati,81,0.27509919,38.9273503,1.274509304,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",63
Chittagong,Lakshmipur,Roypur,82,0.1406305,30.64075753,0.919595176,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",4
Chittagong,Noakhali,Begumganj,83,0,28.09756567,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Noakhali,Chatkhil,84,0,26.23779192,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Noakhali,Companiganj,85,0.290207286,29.55255888,0.436615413,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",7
