DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.14772475,85.46066669,2.166509984,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",16
Barisal,Barguna,Bamna,2,0,71.93500296,4.542594624,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0,80.97397134,3.047323446,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Betagi,4,0,71.90852755,1.383040459,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,0.148598,76.5997679,4.701548781,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",5
Barisal,Barisal,Agailjhara,6,0,28.84835518,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0,35.26127784,1.014180024,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0,50.91305787,1.081650578,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Banari Para,9,0,34.39355145,0.522254482,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0,39.82303582,0.873741454,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Gaurnadi,11,0,29.59807936,0.038844017,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0,29.84462421,1.873342289,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Mehendiganj,13,0.297305667,36.54961664,0.763619165,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",3
Barisal,Barisal,Muladi,14,0,32.90003138,0.85126288,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Wazirpur,15,0,34.5300798,3.473712333,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0,40.64154987,0.943038715,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Burhanuddin,17,0.009219,45.19689922,1.072034447,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Bhola,Char Fasson,18,0.319651098,66.96856541,2.233864367,MP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",51
Barisal,Bhola,Daulatkhan,19,0,40.01433941,0.460701022,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Lalmohan,20,0.392088,52.46457686,0.487247646,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1
Barisal,Bhola,Manpura,21,0.196153558,47.57540092,1.258768888,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",43
Barisal,Bhola,Tazumuddin,22,0.327312333,43.48678086,1.372532941,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",3
Barisal,Jhalokati,Jhalokati Sadar,23,0,42.84993254,0.733903651,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Kanthalia,24,0,58.97901078,0.344016312,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Nalchity,25,0,48.07051318,0.582891337,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Rajapur,26,0,48.95941069,0.41632446,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Bauphal,27,0,55.62039921,0.989088184,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dashmina,28,0,65.76178952,0.9473758,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dumki,29,0,54.99694151,0.647208716,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Galachipa,30,0.417480518,89.00559324,2.805086102,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",56
