DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.5185954545454545,94.8686896,2.45048596982357,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",33.0
Barisal,Barguna,Bamna,2,0.0,86.38472197,8.13635174789469,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0.0,91.28963217,4.720816979826941,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Betagi,4,0.0,87.52647386,2.44693982542248,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,0.37368762499999997,86.25265319,5.005882008740401,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",8.0
Barisal,Barisal,Agailjhara,6,0.0,40.72132969,0.0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0.0,48.69774546,1.12661170169453,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0.0,68.17069106,1.55140726969928,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Banari Para,9,0.0,47.70143824,0.5594916528650971,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0.0,54.32585458,1.37044268811917,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Gaurnadi,11,0.0,41.53313664,0.41210685967560606,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.25535033333333335,41.49295952,0.8514729825200931,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",3.0
Barisal,Barisal,Mehendiganj,13,0.11480016666666666,49.96232642,1.16630839840134,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",6.0
Barisal,Barisal,Muladi,14,0.0,45.53775793,0.5526071972718549,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Wazirpur,15,0.0,47.83177536,1.4561681057579101,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0.0,54.8158544,2.00836481678123,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Burhanuddin,17,0.009219,59.9286191,2.3884769325344597,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1.0
Barisal,Bhola,Char Fasson,18,1.1211341067961165,81.3234372,5.052387115082579,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",103.0
Barisal,Bhola,Daulatkhan,19,0.0,53.71391583,0.945643589968675,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Lalmohan,20,0.392088,68.37816445,1.83741867004861,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1.0
Barisal,Bhola,Manpura,21,0.8380561940298504,59.96063694,2.5380943070434903,MP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",67.0
Barisal,Bhola,Tazumuddin,22,0.352413,57.26213533,2.19616046716511,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",5.0
Barisal,Jhalokati,Jhalokati Sadar,23,0.0,58.22356003,1.3307446503166298,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Kanthalia,24,0.0,76.7872695,0.99555650112542,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Nalchity,25,0.0,64.64018292,0.6416418921764481,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Rajapur,26,0.0,65.71357984,0.0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Bauphal,27,0.0,73.62510356,3.0055403160923397,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dashmina,28,0.0,83.90600625,5.720920819589339,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dumki,29,0.0,73.22135312,1.5237720219223,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Galachipa,30,0.9329395643564359,97.39796339,13.113985040267501,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",202.0
Barisal,Patuakhali,Kala Para,31,0.507133,95.77977598,5.00676008118454,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",4.0
Barisal,Patuakhali,Mirzaganj,32,0.0,89.42780102,2.32278988687057,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Patuakhali Sadar,33,0.0,89.74193583,4.34987642327828,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Bhandaria,34,0.0,70.36149924,3.28664608491844,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Kawkhali,35,0.0,60.44498952,2.43551218082113,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Mathbaria,36,0.0,84.26480692,3.45341396680959,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Nazirpur,37,0.0,49.66724411,0.944538996679649,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Nesarabad (Swarupkati),38,0.0,52.3120718,2.0220432950577,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Pirojpur Sadar,39,0.0,61.51688595,1.9641620877666,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Zianagar,40,0.0,66.23297922,3.07198351393335,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Chandpur Sadar,41,0.3516338,32.66518631,2.1599564527091797,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",10.0
