DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.1949999583333333,94.8686896,3.29417079879969,LP,"Pacca- No, Semi Pacca- No, Kacha- Full",24.0
Barisal,Barguna,Bamna,2,0.0,86.38472197,7.90433998410632,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0.0,91.28963217,4.43756463200438,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Betagi,4,0.0,87.52647386,2.69176260886076,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,0.13536925,86.25265319,7.67017640153327,LP,"Pacca- No, Semi Pacca- No, Kacha- Full",8.0
Barisal,Barisal,Agailjhara,6,0.0,40.72132969,0.0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0.0,48.69774546,1.62575807646255,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0.5398535,68.17069106,2.12074322820238,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",2.0
Barisal,Barisal,Banari Para,9,0.0,47.70143824,0.316322630592398,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0.0,54.32585458,1.76153508119441,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Gaurnadi,11,0.0,41.53313664,0.00813983892176155,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.7647745,41.49295952,2.31746414191793,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",12.0
Barisal,Barisal,Mehendiganj,13,0.5740956153846155,49.96232642,1.78891426542807,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",13.0
Barisal,Barisal,Muladi,14,0.0,45.53775793,1.37617709928503,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Wazirpur,15,0.0,47.83177536,2.7787215408373904,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0.0,54.8158544,1.73535834433415,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Burhanuddin,17,0.009219,59.9286191,1.2360506601915602,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1.0
Barisal,Bhola,Char Fasson,18,0.36513929545454543,81.3234372,3.56560227594382,MP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",88.0
Barisal,Bhola,Daulatkhan,19,0.22868316666666666,53.71391583,0.9315205189058999,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",6.0
Barisal,Bhola,Lalmohan,20,0.392088,68.37816445,0.8078811950386601,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1.0
Barisal,Bhola,Manpura,21,0.3006996785714285,59.96063694,1.66498855450971,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",84.0
Barisal,Bhola,Tazumuddin,22,0.4171975555555555,57.26213533,2.44075544505147,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",9.0
Barisal,Jhalokati,Jhalokati Sadar,23,0.0,58.22356003,0.7946691605500859,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Kanthalia,24,0.0,76.7872695,1.00559578410011,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Nalchity,25,0.0,64.64018292,0.0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Rajapur,26,0.0,65.71357984,0.0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Bauphal,27,0.0,73.62510356,1.83448054588022,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dashmina,28,0.0,83.90600625,1.80036382179923,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dumki,29,0.0,73.22135312,1.53413609631229,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Galachipa,30,0.46919700694444433,97.39796339,4.624304674386849,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",144.0
Barisal,Patuakhali,Kala Para,31,0.30573633333333333,95.77977598,4.264370961184721,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",3.0
Barisal,Patuakhali,Mirzaganj,32,0.0,89.42780102,2.5438944218377,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Patuakhali Sadar,33,0.0,89.74193583,4.48178836554123,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Bhandaria,34,0.0,70.36149924,7.521462261668921,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Kawkhali,35,0.0,60.44498952,0.48919317668425,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Mathbaria,36,0.0,84.26480692,6.86442476511912,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Nazirpur,37,0.0,49.66724411,0.679266749646917,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Nesarabad (Swarupkati),38,0.0,52.3120718,0.781729486591509,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Pirojpur Sadar,39,0.0,61.51688595,4.25192050383391,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Zianagar,40,0.0,66.23297922,7.53340716633078,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Chandpur Sadar,41,1.2076663846153848,32.66518631,1.4461812205651798,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",13.0
Chittagong,Chandpur,Faridganj,42,0.0,34.04509416,0.203186596806448,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Haim Char,43,0.57530475,36.57979146,0.669220416162567,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",4.0
Chittagong,Chandpur,Hajiganj,44,0.0,29.68563386,0.842777760117598,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Kachua,45,0.0,27.17787517,0.0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Matlab Dakshin,46,0.0,28.32846194,0.0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
