DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.8680342222222222,136.45533385773854,3.79521144773089,LP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",36.0
Barisal,Barguna,Bamna,2,0.0,122.55018622634344,12.4140765480072,LP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Barguna,Barguna Sadar,3,0.0,132.21323369082162,7.01638202914701,HP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Barguna,Betagi,4,0.0,121.53941447259604,9.23423491020483,LP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Barguna,Patharghata,5,0.3042591666666667,128.86978984223467,9.196509237713519,LP,"Pacca- No, Semi Pacca- No, Kacha- Full",12.0
Barisal,Barisal,Agailjhara,6,0.0,58.26849964080383,0.0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0.0,67.69028471225124,2.59042037150158,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0.0006505,90.93693073686899,3.8293283793438304,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",2.0
Barisal,Barisal,Banari Para,9,0.0,67.00388228939086,1.3781773345746202,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0.0,73.86718233949344,2.9469614267081,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Gaurnadi,11,0.0,58.89701962790414,1.1920871625908702,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.3391233333333334,58.17989111726651,1.39140206343725,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",3.0
Barisal,Barisal,Mehendiganj,13,0.07631233333333333,68.33960730386033,2.56764918516292,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",6.0
Barisal,Barisal,Muladi,14,0.0,63.33562017263461,1.29702724363069,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Wazirpur,15,0.0,66.82631007308296,3.44877073296583,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0.0,73.83427766003102,4.03490132552001,MP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Burhanuddin,17,0.009219,79.90299231368894,3.4637234922320004,MP,"Pacca- No, Semi Pacca- No, Kacha- Full",1.0
Barisal,Bhola,Char Fasson,18,1.1472908671328672,110.04332111917637,8.62383723727437,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",143.0
Barisal,Bhola,Daulatkhan,19,0.207525,72.47282210489523,2.44352826860484,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1.0
Barisal,Bhola,Lalmohan,20,0.392088,90.24917052797913,3.03912356851872,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1.0
Barisal,Bhola,Manpura,21,0.7020618771929823,82.05583263953675,4.68089522291539,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",57.0
Barisal,Bhola,Tazumuddin,22,0.3128078333333333,76.92190065103895,2.6818261264678,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",6.0
Barisal,Jhalokati,Jhalokati Sadar,23,0.0,79.44633379607176,3.0866610346819003,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Kanthalia,24,0.0,104.11062658788444,2.15055128096088,LP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Jhalokati,Nalchity,25,0.0,87.08611886483865,0.0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Rajapur,26,0.0,88.46788497806854,0.0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Bauphal,27,0.0,95.91715598803717,4.590652094376679,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dashmina,28,0.0,109.30308366139393,10.3665847856617,HP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Patuakhali,Dumki,29,0.30541050000000003,96.22923941447266,3.3677321319527698,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",2.0
Barisal,Patuakhali,Galachipa,30,1.6352475019762844,140.02768301629447,27.556220153161,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",253.0
Barisal,Patuakhali,Kala Para,31,1.0671151428571428,138.55585495160693,11.7705161402193,LP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",7.0
Barisal,Patuakhali,Mirzaganj,32,0.0,119.63070587138635,10.667185495930001,HP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
