Division,District,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.22071367600000003,200.0835147,21.82558305,HP,"Pacca- No, Semi Pacca- Partial, Kacha- Full",
Barisal,Barguna,Bamna,2,0.0,183.0119762,36.04613416,HP,"Pacca- No, Semi Pacca- Partial, Kacha- Full",
Barisal,Barguna,Barguna Sadar,3,0.0,198.75165719999998,19.78532619,HP,"Pacca- No, Semi Pacca- Partial, Kacha- Full",
Barisal,Barguna,Betagi,4,0.0,178.7258549,12.83482562,HP,"Pacca- No, Semi Pacca- Partial, Kacha- Full",
Barisal,Barguna,Patharghata,5,0.212599158,197.89792780000002,31.90667672,HP,"Pacca- No, Semi Pacca- Partial, Kacha- Full",
Barisal,Barisal,Agailjhara,6,0.0,81.85253221,0.0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0.720448552,94.45496397,8.131309697,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Barisal,Barisal,Bakerganj,8,0.63483415,128.0992265,9.607478644,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Barisal,Barisal,Banari Para,9,0.143586317,94.43050321,3.6841118230000003,LP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0.646495605,102.02412629999999,8.697646649,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Barisal,Barisal,Gaurnadi,11,0.0,82.25099703,2.190860078,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.952788689,79.50798377,4.522972553,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Barisal,Barisal,Mehendiganj,13,0.663259716,93.2754593,5.189626051,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Barisal,Barisal,Muladi,14,0.599555973,87.21403114,4.4525831469999995,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Barisal,Wazirpur,15,0.37448045700000004,93.58229762,8.431676885,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Bhola,Bhola Sadar,16,0.850256951,99.85896852,6.772446815,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Barisal,Bhola,Burhanuddin,17,1.099364333,107.25562169999999,6.78361154,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Barisal,Bhola,Char Fasson,18,0.803554442,149.9026997,16.25404214,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Barisal,Bhola,Daulatkhan,19,1.102399909,97.20191661,5.4357025729999995,MP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Barisal,Bhola,Lalmohan,20,0.885426357,121.54648600000002,5.650553455,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Barisal,Bhola,Manpura,21,0.952208952,107.91178059999999,6.116082248,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Barisal,Bhola,Tazumuddin,22,0.7906965,102.2205355,5.917029905,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Barisal,Jhalokati,Jhalokati Sadar,23,0.0,111.79451019999999,8.031183124,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Jhalokati,Kanthalia,24,0.0,151.35222230000002,7.223785891,HP,"Pacca- No, Semi Pacca- Partial, Kacha- Full",
Barisal,Jhalokati,Nalchity,25,0.2913743,122.9489095,3.503387739,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Jhalokati,Rajapur,26,0.0,125.4126779,1.3465685790000002,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Patuakhali,Bauphal,27,0.729560256,132.00096090000002,6.8432864239999995,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Barisal,Patuakhali,Dashmina,28,1.039516718,150.07680190000002,11.45888716,LP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Barisal,Patuakhali,Dumki,29,0.640057575,134.7473479,7.95742854,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Barisal,Patuakhali,Galachipa,30,1.491358961,201.30710359999998,26.16268487,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Barisal,Patuakhali,Kala Para,31,0.65697025,200.9467448,27.71130477,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Barisal,Patuakhali,Mirzaganj,32,0.0,171.853245,14.85546766,LP,"Pacca- No, Semi Pacca- Partial, Kacha- Full",
