DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.16297309523809525,122.59309502619246,8.90715581609806,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",21.0
Barisal,Barguna,Bamna,2,0.0,98.88232517104974,13.534197414827199,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0.0,116.91554299022017,8.27321445497743,HP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Barguna,Betagi,4,0.0,104.15353927672261,2.90346553790812,HP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Barguna,Patharghata,5,0.18739987500000002,104.61296867558463,12.526029437330802,LP,"Pacca- No, Semi Pacca- No, Kacha- Full",8.0
Barisal,Barisal,Agailjhara,6,0.0,53.7983543553884,0.0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0.0,65.47160269244505,2.74488497447151,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0.0,92.67315951808592,4.59204476615357,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Banari Para,9,0.0,61.49051441165507,0.959261940878861,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0.0,77.96883773761445,3.99229112969132,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Gaurnadi,11,0.0,56.29286252325405,0.125755399067047,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.34258000000000005,60.47719712562258,2.43150301600646,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",3.0
