Division,District,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.18819559800000002,188.49224630000003,22.98123696,HP,"Pacca- No, Semi Pacca- Partial, Kacha- Full",
Barisal,Barguna,Bamna,2,0.0,141.7077601,27.08793235,HP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Barguna,Barguna Sadar,3,0.0,175.6540532,20.50204812,HP,"Pacca- No, Semi Pacca- Partial, Kacha- Full",
Barisal,Barguna,Betagi,4,0.0,148.3805584,9.245964824,LP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Barguna,Patharghata,5,0.243398129,159.09137180000002,26.36857078,HP,"Pacca- No, Semi Pacca- Partial, Kacha- Full",
Barisal,Barisal,Agailjhara,6,0.0,71.8876932,0.0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0.181456,88.04606626,6.029210086,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barisal,Bakerganj,8,0.376333111,125.911106,8.704651224,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Barisal,Banari Para,9,0.229849108,82.38695375,2.29794374,LP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0.301170444,105.3492687,6.960948062000001,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barisal,Gaurnadi,11,0.0,75.44286521,2.490345013,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.943834222,81.71597014,5.483506662000001,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Barisal,Barisal,Mehendiganj,13,0.8326878670000001,97.76632814,7.602357971,MP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Barisal,Barisal,Muladi,14,0.595439333,85.4550243,4.190817502,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Barisal,Wazirpur,15,0.0,84.38408158,1.6758360319999999,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0.5751976670000001,113.3311636,6.47400941,MP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Bhola,Burhanuddin,17,0.009219,131.66784740000003,4.912612355,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Bhola,Char Fasson,18,1.967686262,219.34806969999997,62.56381558,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Barisal,Bhola,Daulatkhan,19,1.368126364,114.3315874,7.1046728329999995,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Barisal,Bhola,Lalmohan,20,1.3648581,158.6199264,10.58140457,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Barisal,Bhola,Manpura,21,2.114743692,158.4969024,13.66102693,MP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Barisal,Bhola,Tazumuddin,22,1.2241799999999998,132.937573,9.134153384,MP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Barisal,Jhalokati,Jhalokati Sadar,23,0.0,100.7489309,0.797895048,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Jhalokati,Kanthalia,24,0.0,124.30627920000002,5.051978289,HP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Jhalokati,Nalchity,25,0.0,111.3476149,0.001006818,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Jhalokati,Rajapur,26,0.0,112.46880130000001,0.0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Patuakhali,Bauphal,27,0.693909,150.7159817,8.55418986,LP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Barisal,Patuakhali,Dashmina,28,0.1878815,197.4690238,20.25845883,HP,"Pacca- No, Semi Pacca- Partial, Kacha- Full",
Barisal,Patuakhali,Dumki,29,0.565804333,136.9016534,8.819408394,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Patuakhali,Galachipa,30,0.984958744,219.6719452,69.80922026,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Barisal,Patuakhali,Kala Para,31,0.4010026,191.5092448,33.14001928,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Patuakhali,Mirzaganj,32,0.0,158.7768445,18.51897257,LP,"Pacca- No, Semi Pacca- Partial, Kacha- Full",
Barisal,Patuakhali,Patuakhali Sadar,33,0.0,164.49561269999998,20.67259325,HP,"Pacca- No, Semi Pacca- Partial, Kacha- Full",
Barisal,Pirojpur,Bhandaria,34,0.212387,111.5395979,21.27363142,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Pirojpur,Kawkhali,35,0.0,97.68723397,1.916399745,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Mathbaria,36,0.334572677,132.7387372,19.91534585,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
