DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.237566842,231.8615881,37.27612839,HP,"Pacca- No, Semi Pacca- Partial, Kacha- Full",19
Barisal,Barguna,Bamna,2,0,184.113173,31.84566637,HP,"Pacca- No, Semi Pacca- Partial, Kacha- Full",
Barisal,Barguna,Barguna Sadar,3,0,223.2835482,32.92971809,HP,"Pacca- No, Semi Pacca- Partial, Kacha- Full",
Barisal,Barguna,Betagi,4,0,192.0250198,32.95180151,HP,"Pacca- No, Semi Pacca- Partial, Kacha- Full",
Barisal,Barguna,Patharghata,5,0.2224925,201.8636409,34.12187613,HP,"Pacca- No, Semi Pacca- Partial, Kacha- Full",8
Barisal,Barisal,Agailjhara,6,0,94.6727948,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0,113.1406589,10.21686363,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Barisal,Bakerganj,8,0.534571,159.9093175,21.61055557,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",2
Barisal,Barisal,Banari Para,9,0,108.4253267,5.467849849,LP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0,132.77464,11.99666142,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Barisal,Gaurnadi,11,0,98.15230157,4.679224332,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.614252571,102.8906914,6.599504836,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",7
Barisal,Barisal,Mehendiganj,13,0.359269333,123.2952881,9.584198085,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",6
Barisal,Barisal,Muladi,14,0.006498,109.4973645,7.344291033,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Barisal,Wazirpur,15,0,110.1673844,11.02757895,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Bhola,Bhola Sadar,16,0,141.1615102,12.11969969,HP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Bhola,Burhanuddin,17,0.009219,162.8020555,12.11588663,HP,"Pacca- No, Semi Pacca- Partial, Kacha- Full",1
Barisal,Bhola,Char Fasson,18,4.146003138,255.8053162,144.9091273,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",390
Barisal,Bhola,Daulatkhan,19,0.919101333,141.6031515,10.69967634,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",3
Barisal,Bhola,Lalmohan,20,1.6191526,195.6658364,20.02465898,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",10
Barisal,Bhola,Manpura,21,2.832794074,188.2562273,30.19027573,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",135
Barisal,Bhola,Tazumuddin,22,0.937661182,161.9171864,22.38091384,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",22
Barisal,Jhalokati,Jhalokati Sadar,23,0,131.395587,9.09048981,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Jhalokati,Kanthalia,24,0,162.5109691,7.239531861,HP,"Pacca- No, Semi Pacca- Partial, Kacha- Full",
Barisal,Jhalokati,Nalchity,25,0,144.732325,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Jhalokati,Rajapur,26,0,146.4259285,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Patuakhali,Bauphal,27,0,188.0867803,15.53500678,LP,"Pacca- No, Semi Pacca- Partial, Kacha- Full",
Barisal,Patuakhali,Dashmina,28,0.5481445,241.1473811,34.51905201,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",2
Barisal,Patuakhali,Dumki,29,0,174.5766897,18.07911184,No polder in the area,"Pacca- No, Semi Pacca- Partial, Kacha- Full",
Barisal,Patuakhali,Galachipa,30,2.705738413,255.7940087,138.2609943,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",421
Barisal,Patuakhali,Kala Para,31,0.611122429,232.5102839,44.75124964,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",21
Barisal,Patuakhali,Mirzaganj,32,0,204.2285138,34.25634776,HP,"Pacca- No, Semi Pacca- Partial, Kacha- Full",
Barisal,Patuakhali,Patuakhali Sadar,33,0,209.5394607,43.22779886,HP,"Pacca- No, Semi Pacca- Partial, Kacha- Full",
Barisal,Pirojpur,Bhandaria,34,0,146.9232217,24.77930126,HP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Pirojpur,Kawkhali,35,0,129.1338841,12.76801833,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Pirojpur,Mathbaria,36,0,173.0023683,31.7227211,HP,"Pacca- No, Semi Pacca- Partial, Kacha- Full",
