DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.244030222,239.9598604,44.01836346,HP,"Pacca- No, Semi Pacca- Partial, Kacha- Full",18
Barisal,Barguna,Bamna,2,0,185.6753449,47.03217117,HP,"Pacca- No, Semi Pacca- Partial, Kacha- Full",
Barisal,Barguna,Barguna Sadar,3,0,226.5062657,39.49750106,HP,"Pacca- No, Semi Pacca- Partial, Kacha- Full",
Barisal,Barguna,Betagi,4,0,191.1995782,18.51106293,LP,"Pacca- No, Semi Pacca- Partial, Kacha- Full",
Barisal,Barguna,Patharghata,5,0.100628778,211.7800147,46.6103042,HP,"Pacca- No, Semi Pacca- Partial, Kacha- Full",9
Barisal,Barisal,Agailjhara,6,0,95.00676586,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0,112.3775683,8.621660263,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Barisal,Bakerganj,8,0,154.717326,16.21386572,No polder in the area,"Pacca- No, Semi Pacca- Partial, Kacha- Full",
Barisal,Barisal,Banari Para,9,0,108.4207155,3.618126449,LP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0,129.2774316,11.53648543,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Barisal,Gaurnadi,11,0,97.91953454,2.193947518,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.8819512,101.3424261,10.42826832,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",15
Barisal,Barisal,Mehendiganj,13,0.784762308,120.5063455,14.5577167,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",13
Barisal,Barisal,Muladi,14,0,108.216257,6.075126182,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Barisal,Wazirpur,15,0,109.7765066,4.960492064,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Bhola,Bhola Sadar,16,0.440438667,136.453825,12.34642977,MP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",3
Barisal,Bhola,Burhanuddin,17,0.009219,155.7883091,10.16373676,MP,"Pacca- No, Semi Pacca- Partial, Kacha- Full",1
Barisal,Bhola,Char Fasson,18,3.449978932,256.974022,137.9770086,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",382
Barisal,Bhola,Daulatkhan,19,1.475438,136.6263223,10.73644224,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",13
Barisal,Bhola,Lalmohan,20,1.8661755,185.5595116,19.51780557,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",10
Barisal,Bhola,Manpura,21,2.709074141,181.0518408,26.90657635,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",135
Barisal,Bhola,Tazumuddin,22,1.416529229,154.8178452,14.70725923,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",35
Barisal,Jhalokati,Jhalokati Sadar,23,0,130.1943367,6.283761098,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Jhalokati,Kanthalia,24,0,162.2457342,10.15640052,LP,"Pacca- No, Semi Pacca- Partial, Kacha- Full",
Barisal,Jhalokati,Nalchity,25,0,143.0210309,11.90498525,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Jhalokati,Rajapur,26,0,144.7941012,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Patuakhali,Bauphal,27,0,180.2800782,14.57028517,HP,"Pacca- No, Semi Pacca- Partial, Kacha- Full",
