DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.241601611,12.8289572,1.238107989,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",18
Barisal,Barguna,Bamna,2,0,10.47534594,0.515659839,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0,11.99565828,2.008261118,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Betagi,4,0,10.52825862,0.026022473,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,0.251686,11.76365019,1.43926812,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",8
Barisal,Barisal,Agailjhara,6,0,6.60162453,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0,6.850907932,0.58055643,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0,9.811098714,0.253369565,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Banari Para,9,0,7.054014149,0.545932238,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0,8.583720962,0.684330439,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Gaurnadi,11,0,5.978039718,0.039441683,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0,5.803180919,0.664092038,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Mehendiganj,13,0.13181075,7.863108286,0.733268432,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",4
Barisal,Barisal,Muladi,14,0,6.340958535,0.839968559,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Wazirpur,15,0,6.937680936,0.417638769,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0,10.72217651,0.672887465,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Burhanuddin,17,0.009219,14.18092044,0.912495829,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Bhola,Char Fasson,18,0.553106528,22.55988287,1.696410235,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",53
Barisal,Bhola,Daulatkhan,19,0,12.81270233,0.745205644,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Lalmohan,20,0.392088,19.18660138,1.999020752,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1
Barisal,Bhola,Manpura,21,0.535348651,23.46326794,2.223955595,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",43
Barisal,Bhola,Tazumuddin,22,0.251276,18.35106032,1.643037886,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",3
Barisal,Jhalokati,Jhalokati Sadar,23,0,8.015899354,0.213390401,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Kanthalia,24,0,9.596374411,0.150477231,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Nalchity,25,0,8.664634798,0.726586964,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Rajapur,26,0,8.749361526,0.035261391,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Bauphal,27,0,13.87162376,0.517745944,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dashmina,28,0,15.03586477,0.844397417,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dumki,29,0,10.4203636,0.182045689,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Galachipa,30,0.393642467,17.7010277,1.552250773,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",45
Barisal,Patuakhali,Kala Para,31,0.227361,14.13484859,0.407271186,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Patuakhali,Mirzaganj,32,0,10.8678781,3.003798406,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Patuakhali Sadar,33,0,11.82443567,2.603737974,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Bhandaria,34,0,9.364770904,1.338390257,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Kawkhali,35,0,8.471480489,1.410137641,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Mathbaria,36,0,10.45841778,2.996200744,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Nazirpur,37,0,8.039166355,0.422424983,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Nesarabad (Swarupkati),38,0,7.69208981,0.46157161,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Pirojpur Sadar,39,0,8.585257909,0.940212733,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Zianagar,40,0,9.278311303,1.199400881,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Chandpur Sadar,41,0.400679667,3.375600605,2.173781298,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",3
Chittagong,Chandpur,Faridganj,42,0,4.015653319,0.202878971,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Haim Char,43,0,4.610341343,0.192942106,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Hajiganj,44,0,3.237505567,0.614753452,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Kachua,45,0,2.672393316,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Matlab Dakshin,46,0,2.43626772,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Matlab Uttar,47,0,3.781191123,1.043057923,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Shahrasti,48,0,4.196032456,0.527405823,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chittagong,Anowara,49,0.793351733,67.49812451,3.234097322,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",15
Chittagong,Chittagong,Banshkhali,50,0.535071966,80.61490048,3.969866778,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",29
Chittagong,Chittagong,Boalkhali,51,0.283226,62.9002189,4.116017133,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Chittagong,Chittagong,Chandanaish,52,0,76.51793002,1.813119192,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chittagong,Fatikchhari,54,0.65,38.19911365,0.087862757,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",1
Chittagong,Chittagong,Hathazari,55,0,49.89610728,0.741412276,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chittagong,Chittagong City Corporation,53,1.314732875,61.77790667,4.347797233,LP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",8
Chittagong,Chittagong,Lohagara,56,0,85.38165373,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chittagong,Mirsharai,57,0.58397,25.58490648,0.946325811,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1
Chittagong,Chittagong,Patiya,58,0,71.6852964,1.901602811,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chittagong,Rangunia,59,0.94070518,67.17984695,6.526539899,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",139
Chittagong,Chittagong,Raozan,60,0,51.71419632,5.375896352,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",1
Chittagong,Chittagong,Sandwip,61,1.048172857,36.5591026,1.328134007,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",119
Chittagong,Chittagong,Satkania,62,0,78.05375774,2.985805464,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chittagong,Sitakunda,63,0.806164,47.90473794,1.192018881,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",6
Chittagong,Cox'S Bazar,Chakaria,64,0.2531924,94.62134223,15.48352468,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",25
Chittagong,Cox'S Bazar,Cox'S Bazar Sadar,65,0,78.93637672,4.769752601,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Cox'S Bazar,Kutubdia,66,0.789243833,84.10386111,1.559505088,LP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",6
Chittagong,Cox'S Bazar,Maheshkhali,67,0.6724281,86.1684341,7.758152676,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",30
Chittagong,Cox'S Bazar,Pekua,68,0.456554467,89.75768167,9.397715545,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",15
Chittagong,Cox'S Bazar,Ramu,69,0,78.32314718,7.268692372,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Cox'S Bazar,Teknaf,70,1.3726326,48.94140854,1.326277892,LP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",10
Chittagong,Cox'S Bazar,Ukhia,71,0,58.63281364,0.618524678,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Feni,Chhagalnaiya,72,0,15.67985699,0.824964644,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Feni,Daganbhuiyan,73,0,12.5424135,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Feni,Feni Sadar,74,0,15.4192441,0.379266427,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Feni,Fulgazi,75,0,11.16308747,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Feni,Parshuram,76,0,9.904551238,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Feni,Sonagazi,77,1.565312667,19.47034105,0.265223837,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",3
Chittagong,Lakshmipur,Kamalnagar,78,0,11.52175314,0.164448869,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Lakshmipur,Lakshmipur Sadar,79,0.2467445,8.995609737,1.309014658,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",2
Chittagong,Lakshmipur,Ramganj,80,0,5.117877649,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Lakshmipur,Ramgati,81,0.359117246,15.66753544,1.496682097,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",69
Chittagong,Lakshmipur,Roypur,82,0.180957,5.979453305,1.351794386,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",5
Chittagong,Noakhali,Begumganj,83,0,10.98044229,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Noakhali,Chatkhil,84,0,6.835708092,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Noakhali,Companiganj,85,0.94650165,23.09945045,0.887765029,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",20
Chittagong,Noakhali,Hatiya,86,0.696841161,28.27729735,1.615331439,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",218
Chittagong,Noakhali,Kabirhat,87,0,15.68959903,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Noakhali,Noakhali Sadar (Sudharam),88,0,15.1382111,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Noakhali,Senbagh,89,0,11.85378416,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Noakhali,Sonaimuri,90,0,8.902187204,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Noakhali,Subarnachar,91,1.3637495,24.90663671,1.081593773,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",10
Dhaka,Gopalganj,Gopalganj Sadar,92,0,8.265077258,0.059783366,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
