DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.570700478,18.98086357,0.853263376,LP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",23
Barisal,Barguna,Bamna,2,0,14.69038756,0.633915195,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0,17.02240435,0.669239072,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Betagi,4,0,15.40057736,0.057142052,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,0.62028725,15.47269031,1.413114669,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",8
Barisal,Barisal,Agailjhara,6,0,9.801893767,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0,12.80970039,0.641576675,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0,17.23451526,0.308726829,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Banari Para,9,0,11.00258454,0.56786435,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0,16.31254743,0.752263472,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Gaurnadi,11,0,10.82997998,0.028888222,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.250674833,14.38076463,0.834942525,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",6
Barisal,Barisal,Mehendiganj,13,0.131315667,15.75798353,0.740887942,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",6
Barisal,Barisal,Muladi,14,0,12.70517002,0.845678471,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Wazirpur,15,0,11.54716045,0.244084782,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0,19.57079004,0.874338385,MP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Burhanuddin,17,0.009219,23.81431495,1.091237653,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Bhola,Char Fasson,18,0.817435929,31.7048862,1.445766561,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",56
Barisal,Bhola,Daulatkhan,19,0.24395,22.9415945,0.800780556,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Bhola,Lalmohan,20,0.392088,29.11149665,1.591768998,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1
Barisal,Bhola,Manpura,21,0.47909887,33.89962319,1.828601991,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",54
Barisal,Bhola,Tazumuddin,22,0.197836125,29.07023762,1.136633721,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",8
Barisal,Jhalokati,Jhalokati Sadar,23,0,12.98697031,0.249712991,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Kanthalia,24,0,14.04355324,0.358483101,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Nalchity,25,0,14.75988902,0.391480829,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Rajapur,26,0,13.76302825,0.032786197,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Bauphal,27,0,22.53587948,0.443381245,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dashmina,28,0,22.98249302,0.827916692,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dumki,29,0,17.64421492,0.427724554,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Galachipa,30,0.652252271,25.36054004,1.440755852,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",48
Barisal,Patuakhali,Kala Para,31,0.399282,19.82003312,0.581941837,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1
Barisal,Patuakhali,Mirzaganj,32,0,16.24406338,3.385844383,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Patuakhali Sadar,33,0,19.06350269,2.808264651,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Bhandaria,34,0,13.19213654,1.428709524,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Kawkhali,35,0,12.07126225,1.678665558,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Mathbaria,36,0,14.01718903,2.290204955,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Nazirpur,37,0,10.38830975,0.541211301,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Nesarabad (Swarupkati),38,0,11.43380493,0.524868093,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Pirojpur Sadar,39,0,11.99514545,1.109108719,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Zianagar,40,0,12.03107845,2.059264688,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Chandpur Sadar,41,0.396214364,10.94764598,2.699853563,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",11
Chittagong,Chandpur,Faridganj,42,0,12.77254118,0.25474952,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Haim Char,43,0.295429,12.74866928,0.50803355,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",2
