Division,District,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.17031545899999997,54.47866931,1.942688631,LP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barguna,Bamna,2,0.0,44.55935168,1.334664307,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0.0,49.69542359,1.199280463,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Betagi,4,0.0,46.58231619,0.259733266,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,0.26674575,44.81844959,1.024857006,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barisal,Agailjhara,6,0.0,38.56983157,0.0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0.0,45.3002355,1.212072599,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0.23127675,54.54084745,1.347076594,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barisal,Banari Para,9,0.1776964,40.48606195,0.8050152009999999,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0.16498800000000002,52.81390934,0.7699768909999999,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Barisal,Gaurnadi,11,0.0,41.60913756,0.219780148,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.658862541,50.44770989,1.260783084,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Barisal,Barisal,Mehendiganj,13,0.565785167,52.02771543,1.12467136,MP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Barisal,Muladi,14,0.413530778,45.36398507,0.7403695690000001,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Barisal,Wazirpur,15,0.0,41.85868583,0.92305322,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0.28038775,59.92765508,2.377490536,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Bhola,Burhanuddin,17,0.009219,69.26516590000001,2.222205724,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Bhola,Char Fasson,18,0.27567643,83.58150097,2.51023876,MP,"Pacca- No, Semi Pacca- No, Kacha- Full",
Barisal,Bhola,Daulatkhan,19,0.8601084999999999,67.68489892,1.001959395,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Barisal,Bhola,Lalmohan,20,0.36058759999999995,79.85545468,1.2513108,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Bhola,Manpura,21,0.7309683359999999,90.70743144,3.238975261,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",
Barisal,Bhola,Tazumuddin,22,0.576249579,80.67870572,1.477374365,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",
Barisal,Jhalokati,Jhalokati Sadar,23,0.0,43.83395287,0.588570581,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Kanthalia,24,0.0,44.97024619,0.257297286,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Nalchity,25,0.0,48.70894959,5.2600000000000005e-05,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Rajapur,26,0.0,44.82138136,0.0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Bauphal,27,0.16798,64.99011406,1.5008819569999998,LP,"Pacca- No, Semi Pacca- No, Kacha- Full",
