DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.2667582,98.64143828,2.30912431998481,LP,"Pacca- No, Semi Pacca- No, Kacha- Full",45.0
Barisal,Barguna,Bamna,2,0.0,83.78557067,1.7113661188581002,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0.0,92.5353026,1.9453390524841598,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Betagi,4,0.0,88.13143563,1.23322030608449,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,0.31228744444444445,79.72922619,2.65587654150979,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",27.0
Barisal,Barisal,Agailjhara,6,0.0,58.58171107,0.0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0.0,77.33304306,4.594276744723389,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0.570719,95.47129477,5.790719270234031,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",2.0
Barisal,Barisal,Banari Para,9,0.1646674285714286,67.23584062,1.63352925815569,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",14.0
Barisal,Barisal,Barisal Sadar (Kotwali),10,0.0,90.91040779,5.110344962179691,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Gaurnadi,11,0.0,63.3926078,0.7302974605917231,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.9013750833333334,68.1146898,2.67518804435847,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",12.0
Barisal,Barisal,Mehendiganj,13,0.7577971176470588,85.33984664,5.247588763730651,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",17.0
Barisal,Barisal,Muladi,14,0.7058455,74.67763149,3.1281916200990296,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",2.0
Barisal,Barisal,Wazirpur,15,0.0,71.20451472,1.85989053015399,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0.2776365,92.66562383,3.94687576279273,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",2.0
Barisal,Bhola,Burhanuddin,17,0.009219,94.50091991,2.4276732306798903,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1.0
Barisal,Bhola,Char Fasson,18,0.3430619186046512,91.91216135,5.08826396165803,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",86.0
Barisal,Bhola,Daulatkhan,19,0.39344833333333334,88.21237482,2.6993405592759903,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",6.0
Barisal,Bhola,Lalmohan,20,0.392088,92.58899277,2.24748470868585,MP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1.0
Barisal,Bhola,Manpura,21,0.34780152808988757,76.06679647,4.27619565946469,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",89.0
Barisal,Bhola,Tazumuddin,22,0.4567389090909091,83.73056026,2.95473666607299,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",11.0
Barisal,Jhalokati,Jhalokati Sadar,23,0.0,76.69887289,2.0241421123238603,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Kanthalia,24,0.0,80.48765517,0.7442908721410991,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Nalchity,25,0.0,84.12606894,0.000181866004930571,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Rajapur,26,0.0,70.43418011,0.0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Bauphal,27,0.0,100.9926783,4.52090822884827,HP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Patuakhali,Dashmina,28,0.0,101.252999,4.13617871500308,LP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Patuakhali,Dumki,29,0.0,89.89211975,2.27191157655546,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Galachipa,30,0.45351851785714314,101.2956905,4.42963910673569,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",112.0
Barisal,Patuakhali,Kala Para,31,0.29850875,90.02205478,2.6202839977094903,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",4.0
Barisal,Patuakhali,Mirzaganj,32,0.0,91.64346596,1.2232348309361298,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Patuakhali Sadar,33,0.0,101.0471031,3.62780239533499,LP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Pirojpur,Bhandaria,34,0.054387,75.44629859,3.04893017332109,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1.0
Barisal,Pirojpur,Kawkhali,35,0.0,68.93054171,1.21191557353911,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Mathbaria,36,0.2981159545454546,79.54042857,2.5546462207542002,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",44.0
