DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,2.8559084953271032,161.18341766991307,18.980285300728898,LP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",107.0
Barisal,Barguna,Bamna,2,0.0,122.10252699229807,11.535929316183697,LP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Barguna,Barguna Sadar,3,0.0,146.95111376659568,9.323321210879609,LP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Barguna,Betagi,4,0.0,129.43344795455684,3.8144512000099398,LP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Barguna,Patharghata,5,1.4235038095238095,115.76513621672493,8.787686828640581,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",63.0
Barisal,Barisal,Agailjhara,6,0.0,57.20830104782572,0.0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0.0,70.48574168290233,2.4784140578366296,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0.0,99.27265298170916,4.56644703350761,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Banari Para,9,0.0,66.64634655625085,1.3476369279916698,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0.0,81.92604089770998,3.4755324467176,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Gaurnadi,11,0.0,60.32744640414972,1.3047408998366399,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.281965,64.89283237590232,1.7283635980414,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",1.0
Barisal,Barisal,Mehendiganj,13,0.11469924999999999,76.59550279527517,3.34155809577035,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",4.0
Barisal,Barisal,Muladi,14,0.0,68.26225733149185,1.6607698408074498,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Wazirpur,15,0.0,68.14461849390341,3.1901736242847902,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0.0,85.53064935242455,5.81174902361528,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Burhanuddin,17,0.009219,94.3623373597709,5.3773873030328705,MP,"Pacca- No, Semi Pacca- No, Kacha- Full",1.0
Barisal,Bhola,Char Fasson,18,1.1797702909090906,124.95884079347464,11.4326052485412,MP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",110.0
Barisal,Bhola,Daulatkhan,19,0.0,85.26377242283725,3.35430079344715,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Lalmohan,20,0.392088,106.29704331141197,4.478343349785179,MP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1.0
Barisal,Bhola,Manpura,21,0.5683361666666665,99.53792733878271,7.173194174436589,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",54.0
Barisal,Bhola,Tazumuddin,22,0.28175920000000004,92.42808078748065,4.73071461094111,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",5.0
Barisal,Jhalokati,Jhalokati Sadar,23,0.0,83.3438150696288,3.35281848438111,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Kanthalia,24,0.0,110.13111877199121,2.91282955513817,HP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Jhalokati,Nalchity,25,0.0,93.20518030138567,1.3299782804717,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Rajapur,26,0.0,94.6729430440009,0.0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Bauphal,27,0.0,110.69044844770461,6.603752966010621,LP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Patuakhali,Dashmina,28,0.0,126.09963578586574,12.9908020029355,HP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
