DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,1.2978793956043955,161.18341766991307,12.4937626932141,LP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",91.0
Barisal,Barguna,Bamna,2,0.0,122.10252699229807,10.3189350622322,LP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Barguna,Barguna Sadar,3,0.0,146.95111376659568,7.6378611807715595,LP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Barguna,Betagi,4,0.0,129.43344795455684,6.974630997236,HP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Barguna,Patharghata,5,0.6270351999999999,115.76513621672493,8.34278845307507,LP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",15.0
Barisal,Barisal,Agailjhara,6,0.0,57.20830104782572,0.0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0.0,70.48574168290233,3.80195599078042,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0.0,99.27265298170916,4.804668401703981,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Banari Para,9,0.0,66.64634655625085,0.5309624835517921,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0.0,81.92604089770998,4.0099756459466,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Gaurnadi,11,0.0,60.32744640414972,0.5648464481473111,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.658677,64.89283237590232,2.632744506447,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",3.0
Barisal,Barisal,Mehendiganj,13,0.5859978333333333,76.59550279527517,3.53630246209535,MP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",6.0
Barisal,Barisal,Muladi,14,0.0,68.26225733149185,2.8026096070204995,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Wazirpur,15,0.0,68.14461849390341,1.68605020330643,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0.0,85.53064935242455,4.63585368959554,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Burhanuddin,17,0.009219,94.3623373597709,4.42928901081686,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1.0
Barisal,Bhola,Char Fasson,18,0.5888086724137932,124.95884079347464,7.68860030490684,MP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",58.0
Barisal,Bhola,Daulatkhan,19,0.49773199999999995,85.26377242283725,2.5972414595017703,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1.0
Barisal,Bhola,Lalmohan,20,0.392088,106.29704331141197,3.0640899565746498,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1.0
Barisal,Bhola,Manpura,21,0.4609214814814814,99.53792733878271,2.81508608554533,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",54.0
Barisal,Bhola,Tazumuddin,22,0.6643817500000001,92.42808078748065,3.4782322469874702,MP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",8.0
Barisal,Jhalokati,Jhalokati Sadar,23,0.0,83.3438150696288,1.77891288367009,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Kanthalia,24,0.0,110.13111877199121,2.05931363306168,HP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Jhalokati,Nalchity,25,0.0,93.20518030138567,0.0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Rajapur,26,0.0,94.6729430440009,0.0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Bauphal,27,0.0,110.69044844770461,5.2836495675530495,LP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Patuakhali,Dashmina,28,0.0,126.09963578586574,7.610143556337009,LP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Patuakhali,Dumki,29,0.0,108.18010308816126,4.23836961749683,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Patuakhali,Galachipa,30,1.0605749000000002,161.38882286811378,36.601850093247,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",110.0
Barisal,Patuakhali,Kala Para,31,1.456211818181818,166.66405821062366,30.822729292351198,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",11.0
Barisal,Patuakhali,Mirzaganj,32,0.0,134.8207888109361,6.36395456246775,HP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Patuakhali,Patuakhali Sadar,33,0.0,135.49838772306882,6.926719059507559,HP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Barisal,Pirojpur,Bhandaria,34,0.0,98.48533844389677,7.934107412586569,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Kawkhali,35,0.0,82.84166721648766,0.947295354192123,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Mathbaria,36,0.0,114.15090215260504,3.3056898179919902,LP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
