DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.218435462,20.11094017,0.764661782,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",26
Barisal,Barguna,Bamna,2,0,15.91255179,0.644431321,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0,18.18886596,0.883461611,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Betagi,4,0,16.36851382,0.762687251,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,0.249190667,17.60286527,1.717617682,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",12
Barisal,Barisal,Agailjhara,6,0,7.95113498,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0,11.74931746,0.625587529,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0,17.83055864,0.367077162,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Banari Para,9,0,9.980325759,0.798511062,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0,16.65841366,0.735055753,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Gaurnadi,11,0,8.922124213,0.023523998,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.253475167,14.80471907,0.960348536,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",6
Barisal,Barisal,Mehendiganj,13,0.147413667,15.96121947,1.16160772,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",6
Barisal,Barisal,Muladi,14,0,11.54415019,0.816298898,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Wazirpur,15,0,10.36645182,0.361685979,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0,21.25817668,0.964861639,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Burhanuddin,17,0.009219,27.62639927,1.170342456,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Bhola,Char Fasson,18,0.360380721,33.55420861,1.50251667,MP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",68
Barisal,Bhola,Daulatkhan,19,0.529231333,27.1645755,0.834812547,MP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",3
Barisal,Bhola,Lalmohan,20,0.392088,32.81014355,1.188204974,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1
Barisal,Bhola,Manpura,21,0.574142795,38.57739758,1.296649386,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",73
Barisal,Bhola,Tazumuddin,22,0.807381556,35.10937423,1.38812433,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",9
Barisal,Jhalokati,Jhalokati Sadar,23,0,12.64959913,0.139481451,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Kanthalia,24,0,14.67771202,0.660203405,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Nalchity,25,0,14.54556523,0.500327388,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Rajapur,26,0,13.8485866,0.146661337,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Bauphal,27,0,24.41175092,0.644319358,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dashmina,28,0,24.67526092,0.776304944,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dumki,29,0,18.26785475,0.389479329,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Galachipa,30,0.339156565,26.7014871,1.667324097,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",69
Barisal,Patuakhali,Kala Para,31,0.2048425,21.32009795,0.960258193,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",2
Barisal,Patuakhali,Mirzaganj,32,0,17.18293603,3.887248346,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Patuakhali Sadar,33,0,20.02051715,1.073475243,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Bhandaria,34,0,13.68077574,1.619252419,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Kawkhali,35,0,12.27673064,2.166622916,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Mathbaria,36,0,15.56175046,1.794186663,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Nazirpur,37,0,10.33542196,0.826665592,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Nesarabad (Swarupkati),38,0,10.87602879,0.63567322,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Pirojpur Sadar,39,0,12.43737986,1.624448021,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Zianagar,40,0,13.26928422,1.181707861,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Chandpur Sadar,41,0.392739091,11.11795732,2.196992576,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",11
Chittagong,Chandpur,Faridganj,42,0,14.10580797,0.302413537,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Haim Char,43,0.296066,12.22741205,0.286175791,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",2
Chittagong,Chandpur,Hajiganj,44,0,15.10628503,1.083279044,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Kachua,45,0,16.41317631,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Matlab Dakshin,46,0,10.07493926,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Matlab Uttar,47,0,8.138737135,1.196879873,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
