DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.375053609,34.15515572,0.593888791,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",23
Barisal,Barguna,Bamna,2,0,27.26437852,0.555205255,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0,31.08972494,0.705200465,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Betagi,4,0,28.17124768,0.103790233,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,0.396204875,29.42222895,1.238672771,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",8
Barisal,Barisal,Agailjhara,6,0,16.57156654,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0,21.21478453,0.63170954,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0,28.84608025,0.501086945,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Banari Para,9,0,19.18711858,0.679609604,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0,26.91349329,0.743440021,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Gaurnadi,11,0,17.58168544,0.031590245,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.265858833,21.81263231,0.807170772,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",6
Barisal,Barisal,Mehendiganj,13,0.125087667,25.54062973,0.898783323,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",6
Barisal,Barisal,Muladi,14,0,20.76728107,0.88373926,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Wazirpur,15,0,19.74360061,0.313104949,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0,31.96186382,1.172140856,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Burhanuddin,17,0.009219,39.02218132,1.432726958,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Bhola,Char Fasson,18,0.556026765,55.36243235,1.582732482,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",98
Barisal,Bhola,Daulatkhan,19,0.24096,36.31418874,0.94536558,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Bhola,Lalmohan,20,0.392088,49.03411176,0.775175468,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1
Barisal,Bhola,Manpura,21,0.671065679,57.56295087,1.871203919,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",81
Barisal,Bhola,Tazumuddin,22,0.2158975,47.27033353,0.999466193,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",8
Barisal,Jhalokati,Jhalokati Sadar,23,0,22.79781568,0.177659031,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Kanthalia,24,0,25.54010311,0.5542886,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Nalchity,25,0,25.04744379,1.554180034,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Rajapur,26,0,24.51441846,0.012097014,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Bauphal,27,0,38.12899403,0.5993522,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dashmina,28,0,40.07775777,0.762695672,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dumki,29,0,30.27296357,0.576552914,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Galachipa,30,0.449723333,45.00108798,1.254372043,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",63
Barisal,Patuakhali,Kala Para,31,0.2127035,36.36703483,0.786913598,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",2
Barisal,Patuakhali,Mirzaganj,32,0,29.48264514,3.269239671,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Patuakhali Sadar,33,0,33.16736071,1.46013934,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Bhandaria,34,0,23.9412559,1.068485415,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Kawkhali,35,0,21.97699968,1.786135508,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Mathbaria,36,0,26.38498004,1.121710041,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Nazirpur,37,0,19.02399633,0.611015675,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Nesarabad (Swarupkati),38,0,20.25857502,0.547480169,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Pirojpur Sadar,39,0,22.07053746,1.235371848,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Zianagar,40,0,22.71719167,0.825120743,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Chandpur Sadar,41,0.392267909,15.74635047,2.240260748,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",11
Chittagong,Chandpur,Faridganj,42,0,18.62380512,0.246378133,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Haim Char,43,0.2952325,19.09529144,0.218953726,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",2
Chittagong,Chandpur,Hajiganj,44,0,17.55321612,0.861659853,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Kachua,45,0,17.04911525,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
