DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.193216722,34.15515572,1.79692523,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",18
Barisal,Barguna,Bamna,2,0,27.26437852,0.768011161,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0,31.08972494,1.662740581,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Betagi,4,0,28.17124768,0.131358698,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,0.232287875,29.42222895,0.981231437,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",8
Barisal,Barisal,Agailjhara,6,0,16.57156654,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0,21.21478453,0.432637862,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0,28.84608025,0.40715841,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Banari Para,9,0,19.18711858,0.787524057,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0,26.91349329,0.555645577,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Gaurnadi,11,0,17.58168544,0.061208536,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.601419,21.81263231,1.306056196,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",3
Barisal,Barisal,Mehendiganj,13,0.384063,25.54062973,0.716011498,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",6
Barisal,Barisal,Muladi,14,0,20.76728107,1.037412522,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Wazirpur,15,0,19.74360061,1.971032645,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0,31.96186382,1.515624687,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Burhanuddin,17,0.009219,39.02218132,1.569764049,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Bhola,Char Fasson,18,0.126928843,55.36243235,3.846389031,MP,"Pacca- No, Semi Pacca- No, Kacha- Full",51
Barisal,Bhola,Daulatkhan,19,0.268487,36.31418874,0.930750616,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Bhola,Lalmohan,20,0.392088,49.03411176,0.885036885,MP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1
Barisal,Bhola,Manpura,21,0.282512925,57.56295087,4.477357365,MP,"Pacca- No, Semi Pacca- No, Kacha- Full",53
