DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.204783579,56.61802492,1.32247602,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",19
Barisal,Barguna,Bamna,2,0,45.61308619,3.843984206,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0,51.37639318,1.389978917,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Betagi,4,0,47.89598382,3.75273568,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,0.242942625,46.0913156,1.443387323,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",8
Barisal,Barisal,Agailjhara,6,0,38.12896441,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0,45.91959657,1.618531304,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0,56.55993619,2.168411166,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Banari Para,9,0,40.44203689,0.475256994,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0,54.58166468,1.694405358,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Gaurnadi,11,0,41.55110836,0.14231245,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.268915,51.89401699,1.213136474,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",3
Barisal,Barisal,Mehendiganj,13,0.117070667,53.71006447,1.691579993,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",6
Barisal,Barisal,Muladi,14,0,45.96463748,1.042143289,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Wazirpur,15,0,42.02543579,1.060371915,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0,62.88160229,3.074192049,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Burhanuddin,17,0.009219,73.97142482,2.811389877,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Bhola,Char Fasson,18,0.37075119,88.70727542,7.107114386,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",179
Barisal,Bhola,Daulatkhan,19,0.44954,72.30105882,1.590656437,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",3
Barisal,Bhola,Lalmohan,20,0.12677825,85.69912086,3.881381157,MP,"Pacca- No, Semi Pacca- No, Kacha- Full",4
Barisal,Bhola,Manpura,21,0.512889877,98.40916812,9.062742007,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",130
Barisal,Bhola,Tazumuddin,22,0.41644975,87.66809678,3.744953371,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",12
Barisal,Jhalokati,Jhalokati Sadar,23,0,44.42964867,0.755170709,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Kanthalia,24,0,45.87387596,0.079358893,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Nalchity,25,0,49.83046296,0.87223984,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Rajapur,26,0,45.64419603,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Bauphal,27,0,68.5361032,2.185849642,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dashmina,28,0,68.91033511,1.792749735,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dumki,29,0,56.21064739,0.963123251,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Galachipa,30,0.1859344,71.36970543,4.056597603,LP,"Pacca- No, Semi Pacca- No, Kacha- Full",50
Barisal,Patuakhali,Kala Para,31,0.322076,58.41014967,2.662703108,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1
Barisal,Patuakhali,Mirzaganj,32,0,50.12989833,1.366394124,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Patuakhali Sadar,33,0,58.87754467,1.308355292,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Bhandaria,34,0,43.78923561,2.171643853,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Kawkhali,35,0,41.07187506,1.213043845,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Mathbaria,36,0,43.66564407,2.054092135,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Nazirpur,37,0,37.11571323,0.486824986,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Nesarabad (Swarupkati),38,0,40.77519541,1.056013613,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Pirojpur Sadar,39,0,40.28736345,0.702606887,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Zianagar,40,0,39.76635287,2.012006833,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Chandpur Sadar,41,0.3668358,44.28360808,1.599730132,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",10
Chittagong,Chandpur,Faridganj,42,0,48.98841427,0.847280111,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Haim Char,43,0.206946,47.95284813,0.798786643,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",1
