THACODE,DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,,Wind Speed,,Thrust Force,,,Result,Score
WEIGHT,,,,,0.311493712,,0.350479908,,0.33802638,,,,
100409,Barisal,Barguna,Amtali,1,0.174298389,8.011247809,61.22625537,23.92355911,1.381209285,0.972980783,,11.20907328,10.6054348
100419,Barisal,Barguna,Bamna,2,0,0,48.9874217,19.11382225,2.86109818,2.015475553,,7.380294567,6.043769302
100428,Barisal,Barguna,Barguna Sadar,3,0,0,55.54035607,21.68905865,1.635620791,1.15219874,,7.991052847,6.771436054
100447,Barisal,Barguna,Betagi,4,0,0,51.31811904,20.02976255,0.512255522,0.360853916,,7.142007474,5.759870416
100485,Barisal,Barguna,Patharghata,5,0.181667625,8.349958776,49.9652352,19.49809299,2.575331419,1.814169661,,10.04788669,9.221979346
100602,Barisal,Barisal,Agailjhara,6,0,0,37.60269422,14.63974043,0,0,,5.130934875,3.363847774
100603,Barisal,Barisal,Babuganj,7,0,0,46.2464127,18.03663366,0.735664967,0.518232742,,6.496654042,4.99098647
100607,Barisal,Barisal,Bakerganj,8,0,0,58.37187209,22.80181558,2.295187453,1.616824698,,8.538107623,7.423205478
100610,Barisal,Barisal,Banari Para,9,0,0,40.61501742,15.82355273,0.585031121,0.412120049,,5.685144751,4.024141894
100632,Barisal,Barisal,Barisal Sadar (Kotwali),10,0,0,56.01632354,21.87610901,1.150421303,0.81040421,,7.941074673,6.711891294
100636,Barisal,Barisal,Gaurnadi,11,0,0,40.95545537,15.95734137,0.189774085,0.133684692,,5.637916487,3.967873418
100651,Barisal,Barisal,Hizla,12,0.319596,14.68953769,51.38943123,20.05778751,1.186646879,0.835923,,11.88811417,11.4144545
100662,Barisal,Barisal,Mehendiganj,13,0.273696714,12.57987646,54.62988706,21.33125361,2.25479455,1.588370271,,11.93163927,11.46631097
100669,Barisal,Barisal,Muladi,14,0,0,46.07127983,17.96780823,1.509309684,1.063219987,,6.656752176,5.181729835
