DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.219851913,25.45653923,0.706242077,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",23
Barisal,Barguna,Bamna,2,0,23.06056235,0.661416119,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0,24.59187962,0.694350682,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Betagi,4,0,22.85672769,0.085052102,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,0.245195,24.6123139,2.110247906,LP,"Pacca- No, Semi Pacca- No, Kacha- Full",8
Barisal,Barisal,Agailjhara,6,0,18.8740867,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0,18.36654406,0.413203226,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0,20.70305565,0.420775991,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Banari Para,9,0,19.44349445,0.979586323,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0,18.69502655,0.680877801,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Gaurnadi,11,0,18.05681488,0.051617425,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0,16.16607055,1.002636652,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Mehendiganj,13,0.16356275,17.46809694,1.199473418,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",4
Barisal,Barisal,Muladi,14,0,17.19468277,0.463253834,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Wazirpur,15,0,19.32233173,2.678705637,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0,19.02605723,0.859524109,MP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Burhanuddin,17,0.009219,22.24275974,1.032798322,MP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Bhola,Char Fasson,18,0.31466253,32.30473941,1.781198341,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",66
Barisal,Bhola,Daulatkhan,19,0.5065715,19.19972086,0.995043608,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",2
Barisal,Bhola,Lalmohan,20,0.392088,27.70390821,1.132766735,MP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1
Barisal,Bhola,Manpura,21,0.506412803,32.31990762,2.01331183,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",76
Barisal,Bhola,Tazumuddin,22,0.720809455,25.42740295,1.274086547,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",11
Barisal,Jhalokati,Jhalokati Sadar,23,0,19.96534958,0.483839804,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Kanthalia,24,0,21.99125073,0.50177804,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Nalchity,25,0,20.44717758,0.856710016,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Rajapur,26,0,20.90575148,0.275893387,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Bauphal,27,0,23.08189834,0.748631702,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dashmina,28,0,25.31676625,0.699035849,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Dumki,29,0,21.16800212,0.30134926,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Galachipa,30,0.320752898,28.48081569,1.309525626,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",49
Barisal,Patuakhali,Kala Para,31,0.258195,26.24485242,2.321967731,LP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Patuakhali,Mirzaganj,32,0,22.77517522,3.048584198,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Patuakhali Sadar,33,0,22.81013837,0.982950599,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Bhandaria,34,0,22.09639173,0.768838611,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Kawkhali,35,0,20.92173042,1.662645025,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Mathbaria,36,0,23.36098773,2.382066621,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Nazirpur,37,0,20.8052133,0.795910608,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Nesarabad (Swarupkati),38,0,20.14774692,0.491763121,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Pirojpur Sadar,39,0,21.10694192,1.404644763,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Pirojpur,Zianagar,40,0,22.09244669,1.12783282,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Chandpur Sadar,41,0.393315333,14.3260485,0.743596652,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",3
Chittagong,Chandpur,Faridganj,42,0,12.76977847,0.196392492,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Haim Char,43,0,14.30599597,0.318406695,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Hajiganj,44,0,12.32635695,0.570963291,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Kachua,45,0,12.6504589,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Matlab Dakshin,46,0,13.27411961,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Matlab Uttar,47,0,14.82170266,0.529128839,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chandpur,Shahrasti,48,0,10.43943602,0.253599825,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chittagong,Anowara,49,0.838171435,95.21254591,3.314554589,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",23
Chittagong,Chittagong,Banshkhali,50,0.561595081,105.5730526,4.14957012,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",37
Chittagong,Chittagong,Boalkhali,51,0.332987,75.55227726,3.294966366,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1
Chittagong,Chittagong,Chandanaish,52,0,107.9314771,7.303654408,HP,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Chittagong,Chittagong,Fatikchhari,54,0.65,53.6720815,0.227592211,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",1
Chittagong,Chittagong,Hathazari,55,0,55.09522604,0.650288127,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Chittagong,Chittagong City Corporation,53,1.661716286,72.90072587,3.9924497,LP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",14
Chittagong,Chittagong,Lohagara,56,0,105.7315781,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Chittagong,Chittagong,Mirsharai,57,0.9548448,30.67985671,0.388965682,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",5
Chittagong,Chittagong,Patiya,58,0.219138,96.24274209,0.401495434,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Chittagong,Chittagong,Rangunia,59,0.862632741,97.43622149,8.080246011,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",139
Chittagong,Chittagong,Raozan,60,0.3,65.52894293,2.733051318,No polder in the area,"Pacca- Full, Semi Pacca- Full, Kacha- Full",1
Chittagong,Chittagong,Sandwip,61,1.378101133,49.24986817,1.670831245,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",211
Chittagong,Chittagong,Satkania,62,0,108.182438,6.938867647,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Partial",
Chittagong,Chittagong,Sitakunda,63,1.19467344,57.36971326,2.945514608,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",25
Chittagong,Cox'S Bazar,Chakaria,64,0.408967364,93.120541,9.77090559,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",11
Chittagong,Cox'S Bazar,Cox'S Bazar Sadar,65,0,69.09989435,3.556796663,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Cox'S Bazar,Kutubdia,66,0.780074,88.34652368,0.954316722,LP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",6
Chittagong,Cox'S Bazar,Maheshkhali,67,0.51065825,76.40880048,4.440689607,LP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",24
Chittagong,Cox'S Bazar,Pekua,68,0.410570077,90.40498051,4.635712379,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",13
Chittagong,Cox'S Bazar,Ramu,69,0,68.83249157,1.82913379,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Cox'S Bazar,Teknaf,70,1.0082655,51.85821331,1.221648435,LP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",10
Chittagong,Cox'S Bazar,Ukhia,71,0,57.69422465,0.728115536,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Feni,Chhagalnaiya,72,0,14.64672704,0.60228304,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Feni,Daganbhuiyan,73,0,10.11995209,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Feni,Feni Sadar,74,0,14.16299328,1.081202958,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Feni,Fulgazi,75,0,9.008405499,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Feni,Parshuram,76,0,8.292077963,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Feni,Sonagazi,77,1.545849,20.54606974,0.243662015,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",7
Chittagong,Lakshmipur,Kamalnagar,78,0,16.55566407,0.464706101,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Lakshmipur,Lakshmipur Sadar,79,0.716368,14.80348607,1.662537959,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",2
Chittagong,Lakshmipur,Ramganj,80,0,11.47390996,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Lakshmipur,Ramgati,81,1.173356451,21.40727798,3.960170074,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",91
Chittagong,Lakshmipur,Roypur,82,0.531226,13.7875248,2.019218415,No polder in the area,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",5
Chittagong,Noakhali,Begumganj,83,0,10.9878257,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Noakhali,Chatkhil,84,0,10.33077535,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Noakhali,Companiganj,85,1.308130675,26.7000568,1.559137332,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",40
Chittagong,Noakhali,Hatiya,86,0.820028953,37.31043277,9.863399896,HP,"Pacca- Full, Semi Pacca- Full, Kacha- Full",321
Chittagong,Noakhali,Kabirhat,87,0,16.42931072,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Noakhali,Noakhali Sadar (Sudharam),88,0,17.47988987,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Chittagong,Noakhali,Senbagh,89,0,10.04532286,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
