THACODE,DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,,Wind Speed,,Thrust Force,,,Result,Score,,
WEIGHT,,,,,,,,,,,,,,,
100409,Barisal,Barguna,Amtali,1,0.431490167,26.19918128,15.83007191,12.37014547,3.007373603,19.16833253,,19.00278411,21.99263019,,0.311001399
100419,Barisal,Barguna,Bamna,2,0,0,12.96661815,9.364760411,0.448680396,2.859789359,,4.221091227,4.550617472,,0.345996983
100428,Barisal,Barguna,Barguna Sadar,3,0,0,14.83936153,11.33032907,3.882188708,24.74421004,,12.40756375,14.21044189,,0.343001618
100447,Barisal,Barguna,Betagi,4,0,0,12.95179133,9.349198677,0.023919068,0.152454836,,3.287086793,3.44851656,,
100485,Barisal,Barguna,Patharghata,5,0.443832375,26.94857436,14.67434172,11.15712981,3.054736131,19.47021078,,18.91969138,21.89458293,,
100602,Barisal,Barisal,Agailjhara,6,0,0,8.367015454,4.537171643,0,0,,1.569847701,1.422219145,,
100603,Barisal,Barisal,Babuganj,7,0,0,7.927587776,4.075963086,0.311384453,1.984695461,,2.091024685,2.037194416,,
100607,Barisal,Barisal,Bakerganj,8,0,0,11.53171954,7.858738941,0.301388236,1.92098179,,3.377999827,3.555791573,,
100610,Barisal,Barisal,Banari Para,9,0,0,8.82768861,5.020678742,0.788465925,5.025506981,,3.460896723,3.653607752,,
100632,Barisal,Barisal,Barisal Sadar (Kotwali),10,0,0,9.768315115,6.007928783,0.605988243,3.862434696,,3.403546584,3.58593608,,
100636,Barisal,Barisal,Gaurnadi,11,0,0,7.648189774,3.782716312,0.01317502,0.083974656,,1.337611875,1.148186917,,
100651,Barisal,Barisal,Hizla,12,0.255683,15.52453747,5.81370231,1.857299779,0.811512129,5.172398375,,7.244914004,8.118649615,,
100662,Barisal,Barisal,Mehendiganj,13,0.13043725,7.919877253,8.742107338,4.930855508,0.771935692,4.920146941,,5.856772397,6.480678662,,
100669,Barisal,Barisal,Muladi,14,0,0,6.883081109,2.979683911,0.66768594,4.255682137,,2.490667502,2.508762534,,
100694,Barisal,Barisal,Wazirpur,15,0,0,8.751586604,4.940804628,0.572539624,3.649240615,,2.961198931,3.063977368,,
100918,Barisal,Bhola,Bhola Sadar,16,0,0,12.79252239,9.182035338,0.567163104,3.614971869,,4.416897726,4.781664042,,
100921,Barisal,Bhola,Burhanuddin,17,0.009219,0.559758416,17.62340411,14.25236681,0.80504201,5.131159271,,6.865357502,7.670782825,,
100925,Barisal,Bhola,Char Fasson,18,0.734360836,44.58885541,27.73531043,24.86548464,1.667674143,10.62938522,,26.11647541,30.38660069,,
100929,Barisal,Bhola,Daulatkhan,19,0,0,16.10373819,12.65737642,0.968539453,6.173255721,,6.496850755,7.235954459,,
100954,Barisal,Bhola,Lalmohan,20,0.392088,23.80676404,24.4229356,21.38892708,0.560401278,3.571873489,,16.02959955,18.48434982,,
100965,Barisal,Bhola,Manpura,21,0.435056458,26.41571902,30.34872358,27.60843546,0.714140121,4.551770786,,19.32902569,22.37758676,,
100991,Barisal,Bhola,Tazumuddin,22,0.184611,11.20919415,24.12332097,21.07446161,1.517866027,9.674541503,,14.09615859,16.20293983,,
104240,Barisal,Jhalokati,Jhalokati Sadar,23,0,0,9.535729007,5.763814202,0.31270337,1.993101945,,2.677899517,2.729691437,,
104243,Barisal,Jhalokati,Kanthalia,24,0,0,11.80981459,8.150618181,0.24190564,1.541852912,,3.348947345,3.5215104,,
104273,Barisal,Jhalokati,Nalchity,25,0,0,10.37986352,6.649789484,1.125481094,7.173566943,,4.761352167,5.188111314,,
104284,Barisal,Jhalokati,Rajapur,26,0,0,10.54719875,6.82541893,0.242378066,1.544864051,,2.891465227,2.981693414,,
107838,Barisal,Patuakhali,Bauphal,27,0,0,16.91917002,13.51322633,0.636530349,4.057103308,,6.06712854,6.728893434,,
107852,Barisal,Patuakhali,Dashmina,28,0,0,18.28862518,14.95056054,0.460149885,2.932893339,,6.178836005,6.860705334,,
107855,Barisal,Patuakhali,Dumki,29,0,0,12.34737483,8.714823385,0.350301944,2.232746919,,3.781138405,4.031484598,,
107857,Barisal,Patuakhali,Galachipa,30,0.570812523,34.6585436,21.38074978,18.19595085,1.864475932,11.88375618,,21.15074724,24.52717075,,
107866,Barisal,Patuakhali,Kala Para,31,0.248292,15.0757714,17.22369402,13.83284451,1.593713497,10.15797646,,12.95891082,14.86101708,,
107876,Barisal,Patuakhali,Mirzaganj,32,0,0,13.23171801,9.643000335,1.549160973,9.87400855,,6.723249932,7.503099592,,
107895,Barisal,Patuakhali,Patuakhali Sadar,33,0,0,14.18863879,10.6473523,1.626400106,10.36631366,,7.23961413,8.112395901,,
107914,Barisal,Pirojpur,Bhandaria,34,0,0,11.72514875,8.061755754,0.996999956,6.354656657,,4.969000684,5.433131158,,
107947,Barisal,Pirojpur,Kawkhali,35,0,0,10.46461312,6.738739822,0.548307658,3.494791437,,3.530302766,3.735505075,,
107958,Barisal,Pirojpur,Mathbaria,36,0,0,13.11177524,9.517112425,3.796134661,24.19572062,,11.59206351,13.24817283,,
107976,Barisal,Pirojpur,Nazirpur,37,0,0,10.28996639,6.55543647,0.588834068,3.753097788,,3.555479855,3.765213385,,
107980,Barisal,Pirojpur,Nesarabad (Swarupkati),38,0,0,9.588422475,5.819119499,0.407128882,2.594949222,,2.903469573,2.995858229,,
107987,Barisal,Pirojpur,Pirojpur Sadar,39,0,0,10.63685683,6.919521045,0.775459748,4.942608493,,4.089456116,4.395291469,,
107990,Barisal,Pirojpur,Zianagar,40,0,0,11.6819866,8.016454209,0.75719824,4.82621369,,4.429068076,4.796024738,,
201322,Chittagong,Chandpur,Chandpur Sadar,41,0.372612,22.62422201,4.677410271,0.664685754,1.975705692,12.59271001,,11.58546387,13.24038544,,
201345,Chittagong,Chandpur,Faridganj,42,0,0,4.044114741,0,0.345999273,2.205322648,,0.756429236,0.462406537,,
201347,Chittagong,Chandpur,Haim Char,43,0,0,4.169899849,0.132019832,0.18553895,1.182584128,,0.451306733,0.102369927,,
201349,Chittagong,Chandpur,Hajiganj,44,0,0,4.631212475,0.616198096,1.714463652,10.92761117,,3.961390994,4.24417796,,
201358,Chittagong,Chandpur,Kachua,45,0,0,5.789576945,1.831978605,0,0,,0.63385907,0.317776933,,
201376,Chittagong,Chandpur,Matlab Dakshin,46,0,0,5.047980423,1.053623761,0,0,,0.364550643,0,,
201379,Chittagong,Chandpur,Matlab Uttar,47,0,0,6.390150309,2.462320271,0.957320972,6.101751611,,2.944866059,3.044705005,,
201395,Chittagong,Chandpur,Shahrasti,48,0,0,6.613382697,2.6966175,0.214549771,1.367492669,,1.402073718,1.224250213,,
201504,Chittagong,Chittagong,Anowara,49,0.797199786,48.40430514,73.40821892,72.802238,2.057935125,13.11682219,,44.74225256,52.36453275,,
201508,Chittagong,Chittagong,Banshkhali,50,0.490900448,29.8064494,99.2064406,99.87918647,2.692980674,17.16446171,,49.71518279,58.23246094,,
201512,Chittagong,Chittagong,Boalkhali,51,0.185938,11.28976682,87.72183562,87.82533016,10.07911897,64.24206949,,55.93356632,65.56999159,,
201518,Chittagong,Chittagong,Chandanaish,52,0,0,97.67723119,98.27417955,1.778136357,11.33344688,,37.88996026,44.27900626,,
201533,Chittagong,Chittagong,Fatikchhari,54,0.65,39.46664173,61.6239081,60.43382048,0.443344258,2.825777999,,34.15334679,39.86989965,,
201537,Chittagong,Chittagong,Hathazari,55,0,0,74.02118613,73.44558783,1.820594297,11.60406437,,29.39216467,34.25182872,,
201547,Chittagong,Chittagong,Lohagara,56,0,0,98.41656581,99.05016038,0,0,,34.27105667,40.00879425,,
201553,Chittagong,Chittagong,Mirsharai,57,0.349342,21.21131624,40.57048512,38.33685364,0.477098007,3.040916911,,20.90422415,24.23627992,,
201561,Chittagong,Chittagong,Patiya,58,0,0,93.70948263,94.1097637,5.722494281,36.47390971,,45.07230436,52.75398528,,
201570,Chittagong,Chittagong,Rangunia,59,1.065944777,64.72193942,88.5372321,88.68114296,15.68928126,100,,85.11218342,100,,
201574,Chittagong,Chittagong,Raozan,60,0,0,79.04176184,78.71501576,13.04626271,83.15398579,,55.75710964,65.3617773,,
201578,Chittagong,Chittagong,Sandwip,61,0.539181888,32.73799754,56.12724785,54.66471019,1.612512187,10.27779514,,32.62068821,38.06140243,,
