DIVNAME,DISTNAME,Upazila,DDIEM_ID,Water Depth,Wind Speed,Thrust Force,Polder Damage Condition,Structure Damage Condition,Count
Barisal,Barguna,Amtali,1,0.191312278,38.87230464,0.755586885,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",18
Barisal,Barguna,Bamna,2,0,31.72466997,0.495559544,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Barguna Sadar,3,0,35.69285636,1.238628264,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Betagi,4,0,32.59488318,0.260764225,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barguna,Patharghata,5,0.224121875,34.14759968,2.229263595,LP,"Pacca- No, Semi Pacca- No, Kacha- Full",8
Barisal,Barisal,Agailjhara,6,0,19.37568809,0,LP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Babuganj,7,0,24.29720784,0.296657619,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Bakerganj,8,0,32.99207518,0.682782025,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Banari Para,9,0,22.43563076,0.788062413,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Barisal Sadar (Kotwali),10,0,30.62798845,0.694687398,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Gaurnadi,11,0,20.30351898,0.040372337,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Hizla,12,0.251106667,24.25170463,1.450905662,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- Full",3
Barisal,Barisal,Mehendiganj,13,0.138276167,28.98088537,0.8536078,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",6
Barisal,Barisal,Muladi,14,0,23.72077208,0.412175114,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Barisal,Wazirpur,15,0,22.91416895,0.5201602,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Bhola Sadar,16,0,36.34466303,1.593600959,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Bhola,Burhanuddin,17,0.009219,44.48903324,1.989833295,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Bhola,Char Fasson,18,0.403566288,61.08479367,4.36629711,MP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",59
Barisal,Bhola,Daulatkhan,19,0.220908,41.4811666,0.940519493,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",1
Barisal,Bhola,Lalmohan,20,0.392088,55.57310023,1.099326649,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",1
Barisal,Bhola,Manpura,21,0.501667944,64.93984189,4.235134157,HP,"Pacca- Partial, Semi Pacca- Full, Kacha- Full",54
Barisal,Bhola,Tazumuddin,22,0.186676571,54.33121063,1.408871846,HP,"Pacca- No, Semi Pacca- No, Kacha- Full",7
Barisal,Jhalokati,Jhalokati Sadar,23,0,26.50767649,0.331553026,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Kanthalia,24,0,29.76428035,0.255115785,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Nalchity,25,0,28.80621007,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Jhalokati,Rajapur,26,0,28.44726238,0,No polder in the area,"Pacca- No, Semi Pacca- No, Kacha- No",
Barisal,Patuakhali,Bauphal,27,0,43.2745692,1.408433928,HP,"Pacca- No, Semi Pacca- No, Kacha- No",
